Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,388,464,496,488,471,554,462,518,534,595,538,602,657
  └─ YOY Sales Growth %,,48.76%,20.86%,27.75%,21.46%,19.28%,-6.91%,6.00%,13.26%,7.43%,16.51%,16.24%,23.15%
Expenses,391,435,456,454,438,508,493,491,507,549,490,536,580
  └─ Material Cost %,31.43%,28.97%,30.53%,31.37%,30.04%,28.34%,31.23%,30.05%,29.28%,28.80%,29.51%,31.47%,29.67%
  └─ Employee Cost %,10.82%,9.58%,7.48%,9.05%,9.51%,8.92%,11.14%,10.01%,8.95%,10.14%,11.12%,11.81%,10.86%
Operating Profit,-3,29,40,34,33,46,-31,26,27,46,48,65,77
OPM %,-1%,6%,8%,7%,7%,8%,-7%,5%,5%,8%,9%,11%,12%
Other Income,-148,13,7,11,19,19,20,19,21,24,20,16,19
  └─ Exceptional items,-154.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.80,0.00
  └─ Other income normal,6.21,12.61,7.08,10.97,19.05,18.72,20.02,19.22,20.78,23.89,20.14,20.68,18.88
Interest,2,1,2,3,3,3,3,3,3,3,3,3,3
Depreciation,8,6,6,8,10,9,11,13,12,11,12,11,11
Profit before tax,-161,34,39,35,39,52,-24,29,32,56,53,67,82
Tax %,1%,27%,25%,25%,22%,23%,-24%,12%,22%,26%,26%,25%,15%
Net Profit,-162,25,29,26,30,40,-19,26,25,41,39,50,69
  └─ Minority share,2,1,0,0,0,0,0,0,0,0,0,0,-0
  └─ Exceptional items AT,-150,0,0,0,0,0,0,0,0,0,0,-4,0
  └─ Profit excl Excep,-11,25,29,26,30,40,-19,26,25,41,39,54,69
  └─ Profit for PE,-11,26,29,26,30,40,-19,26,25,41,39,54,69
  └─ Profit for EPS,-160,26,29,26,30,40,-19,26,25,41,39,50,69
  └─ YOY Profit Growth %,,379%,73%,174%,373%,55%,-163%,0%,-18%,3%,311%,107%,177%
EPS in Rs,-11.73,1.90,2.16,0.80,0.94,1.24,-0.57,0.80,0.77,1.27,1.21,1.54,2.13
Raw PDF,,,,,,,,,,,,,
