Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,183,182,209,219,228,238,280,290,283,274,309,371,347
  └─ YOY Sales Growth %,1.26%,7.64%,15.99%,16.26%,24.69%,30.89%,34.22%,32.60%,23.81%,15.36%,10.25%,27.88%,22.86%
Expenses,99,112,116,121,125,138,154,159,160,160,174,219,219
  └─ Employee Cost %,36.94%,41.64%,36.36%,37.99%,37.24%,40.34%,36.28%,35.86%,35.97%,40.76%,36.86%,39.80%,43.69%
Operating Profit,84,70,93,98,104,100,127,131,122,114,136,152,128
OPM %,46%,39%,45%,45%,45%,42%,45%,45%,43%,41%,44%,41%,37%
Other Income,6,5,6,6,7,8,11,9,10,10,11,-2,11
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.56,-4.04
  └─ Other income normal,6.24,5.32,6.30,6.44,6.60,8.09,10.55,9.09,10.00,10.03,10.77,6.64,14.99
Interest,3,3,3,1,1,1,1,1,1,1,1,1,1
Depreciation,11,12,13,13,15,15,17,16,17,18,18,23,27
Profit before tax,76,60,84,89,94,92,119,122,114,105,127,125,111
Tax %,25%,28%,27%,25%,21%,26%,25%,26%,26%,26%,26%,27%,27%
Net Profit,57,43,61,67,74,68,89,90,85,77,93,92,81
  └─ Exceptional items AT,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6,-3
  └─ Profit excl Excep,57,43,61,67,74,68,89,90,85,77,93,98,84
  └─ Profit for PE,57,43,61,67,74,68,89,90,85,77,93,98,84
  └─ Profit for EPS,57,43,61,67,74,68,89,90,85,77,93,92,81
  └─ YOY Profit Growth %,12%,16%,28%,25%,31%,57%,46%,35%,14%,14%,4%,8%,-1%
EPS in Rs,3.37,2.55,3.61,3.92,4.36,3.97,5.21,5.25,4.94,4.49,5.42,5.33,4.70
Raw PDF,,,,,,,,,,,,,
