Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,1065,1170,1247,1292,1457,1512,1453,1380,1407,1463,1508,1490,1597
  └─ YOY Sales Growth %,29.63%,54.03%,53.52%,42.33%,36.80%,29.23%,16.55%,6.82%,-3.49%,-3.25%,3.79%,7.97%,13.55%
Interest,346,385,424,442,482,510,485,475,478,482,480,459,478
Expenses,311,306,345,365,434,453,700,1020,864,885,845,678,660
  └─ Employee Cost %,12.63%,13.36%,12.97%,12.13%,13.35%,12.42%,12.99%,12.92%,12.47%,15.12%,14.54%,15.22%,13.25%
Financing Profit,409,479,478,486,542,549,269,-115,65,96,184,353,459
Financing Margin %,38%,41%,38%,38%,37%,36%,18%,-8%,5%,7%,12%,24%,29%
Other Income,1,1,1,3,2,1,1,2,1,1,1,1,1
  └─ Other income normal,0.83,0.69,0.65,3.03,1.61,0.55,0.63,1.55,1.08,0.74,0.67,0.90,1.31
Depreciation,12,12,12,13,14,14,17,16,15,15,16,16,16
Profit before tax,398,467,467,476,529,535,252,-129,51,81,169,338,445
Tax %,25%,25%,26%,26%,25%,26%,26%,-23%,8%,26%,26%,25%,24%
Net Profit,297,348,347,353,397,398,186,-100,47,60,126,252,340
  └─ Profit excl Excep,297,348,347,353,397,398,186,-100,47,60,126,252,340
  └─ Profit for PE,297,348,347,353,397,398,186,-100,47,60,126,252,340
  └─ Profit for EPS,297,348,347,353,397,398,186,-100,47,60,126,252,340
  └─ YOY Profit Growth %,89%,152%,98%,67%,34%,14%,-46%,-128%,-88%,-85%,-32%,353%,619%
EPS in Rs,18.98,22.30,21.81,22.20,24.91,24.95,11.67,-6.24,2.96,3.77,7.87,15.75,21.20
Gross NPA %,1.21%,0.89%,0.77%,0.97%,1.18%,1.46%,2.44%,3.99%,4.76%,4.70%,3.65%,4.04%,3.17%
Net NPA %,,0.27%,0.24%,0.29%,0.35%,0.45%,0.76%,1.28%,1.73%,1.78%,1.26%,1.36%,1.12%
Raw PDF,,,,,,,,,,,,,
