Metric,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016
Sales,281,292,309,314,310,442,545,522,528,526,572,557,523
  └─ YOY Sales Growth %,22.70%,13.54%,11.34%,16.67%,10.19%,51.71%,76.17%,66.12%,70.24%,18.82%,5.02%,6.76%,-1.04%
Expenses,254,260,278,287,281,388,482,472,463,446,513,502,469
  └─ Material Cost %,71%,70%,71%,72%,71%,67%,68%,69%,65%,64%,68%,69%,68%
  └─ Employee Cost %,7%,7%,7%,8%,8%,8%,8%,9%,10%,9%,9%,9%,9%
Operating Profit,27,32,32,27,29,54,63,50,65,79,59,56,53
OPM %,10%,11%,10%,9%,9%,12%,12%,10%,12%,15%,10%,10%,10%
Other Income,8,3,5,2,6,3,3,5,3,4,4,4,5
  └─ Exceptional items,7.05,1.25,2.64,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.77,1.39,2.01,2.27,3.39,3.14,2.99,5.07,3.04,3.88,4.22,4.42,4.71
Interest,1,1,1,1,1,9,11,11,10,10,8,8,8
Depreciation,11,11,11,11,11,20,24,24,23,23,23,23,22
Profit before tax,23,22,25,18,23,29,31,21,35,50,33,29,28
Tax %,26%,23%,22%,23%,20%,26%,33%,22%,41%,30%,39%,40%,43%
Net Profit,17,17,19,14,18,21,21,16,20,35,20,18,16
  └─ Minority share,-0.69,-0.43,-0.58,-0.56,-0.33,-0.80,-0.71,-0.35,0.06,-0.67,-1.69,-0.73,-1.01
  └─ Exceptional items AT,5.13,1.25,2.64,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,12.22,16.10,16.61,13.78,16.22,21.28,20.63,16.32,20.50,34.95,19.95,17.52,16.26
  └─ Profit for PE,11.73,15.70,16.11,13.22,15.92,20.48,19.92,15.97,20.56,34.28,18.26,16.79,15.25
  └─ Profit for EPS,16.66,16.92,18.67,13.22,17.79,20.48,19.92,15.97,20.56,34.28,18.26,16.79,15.25
  └─ YOY Profit Growth %,16.99%,0.45%,9.07%,44.48%,35.71%,30.44%,23.65%,20.80%,29.11%,67.38%,-8.33%,5.13%,-25.83%
EPS in Rs,2.66,2.70,2.98,1.82,2.45,2.82,2.74,2.20,2.83,4.71,2.51,2.31,2.10
Raw PDF,,,,,,,,,,,,,
