Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,595,485,599,699,653,691,940,944,799,869,826
  └─ YOY Sales Growth %,,,,,9.78%,42.52%,56.96%,35.03%,22.31%,25.87%,-12.09%
Expenses,512,427,527,609,554,617,852,847,713,828,710
  └─ Material Cost %,73%,73%,75%,76%,73%,77%,72%,73%,71%,78%,69%
  └─ Employee Cost %,3%,4%,3%,2%,3%,3%,4%,4%,4%,4%,4%
Operating Profit,83,58,72,90,99,74,87,96,85,42,116
OPM %,14%,12%,12%,13%,15%,11%,9%,10%,11%,5%,14%
Other Income,3,2,2,2,6,1,3,3,3,-1,12
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.10,0.33
  └─ Other income normal,3.03,1.72,2.39,2.48,6.36,1.37,2.67,3.38,2.96,1.77,11.79
Interest,1,1,1,1,1,1,3,5,5,5,5
Depreciation,9,9,9,9,10,10,26,25,26,29,30
Profit before tax,76,50,64,82,94,64,61,71,57,6,93
Tax %,26%,30%,23%,26%,26%,26%,10%,26%,21%,-155%,21%
Net Profit,56,35,49,61,70,48,55,52,45,16,73
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,-2,0
  └─ Profit excl Excep,56,35,49,61,70,48,55,52,45,18,73
  └─ Profit for PE,56,35,49,61,70,48,55,52,45,18,73
  └─ Profit for EPS,56,35,49,61,70,48,55,52,45,16,73
  └─ YOY Profit Growth %,,,,,24%,36%,11%,-15%,-36%,-62%,34%
EPS in Rs,32.08,19.88,28.07,34.80,39.86,27.12,31.12,29.52,25.43,9.29,41.78
Raw PDF,,,,,,,,,,,
