Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,485,399,418,414,415,425,371,377,374,349,340,352,210
  └─ YOY Sales Growth %,4.69%,-26.51%,2.82%,-14.23%,-14.30%,6.49%,-11.10%,-8.96%,-10.03%,-17.79%,-8.45%,-6.60%,-43.92%
Expenses,365,324,305,305,315,351,288,369,316,300,246,263,384
  └─ Material Cost %,15.42%,8.91%,7.27%,10.62%,12.98%,11.78%,6.47%,10.21%,7.79%,7.11%,8.48%,10.84%,5.83%
  └─ Employee Cost %,14.63%,16.11%,15.36%,13.99%,14.40%,13.79%,15.34%,15.14%,14.61%,13.39%,15.79%,15.50%,22.19%
Operating Profit,119,75,113,109,101,73,83,7,58,49,93,88,-174
OPM %,25%,19%,27%,26%,24%,17%,22%,2%,15%,14%,28%,25%,-83%
Other Income,8,6,10,7,9,10,8,12,10,8,12,16,4
  └─ Other income normal,8.24,6.15,9.69,6.96,9.39,10.21,8.20,12.09,10.27,7.58,11.83,16.43,3.91
Interest,61,72,35,34,35,39,37,37,38,37,36,36,38
Depreciation,65,65,59,58,56,57,54,54,53,53,49,48,44
Profit before tax,2,-56,28,23,19,-13,1,-71,-23,-32,20,21,-252
Tax %,634%,-14%,32%,11%,35%,20%,36%,-14%,-32%,-86%,32%,27%,-23%
Net Profit,-9,-48,19,21,12,-15,1,-61,-15,-4,14,15,-194
  └─ Profit excl Excep,-9,-48,19,21,12,-15,1,-61,-15,-4,14,15,-194
  └─ Profit for PE,-9,-48,19,21,12,-15,1,-61,-15,-4,14,15,-194
  └─ Profit for EPS,-9,-48,19,21,12,-15,1,-61,-15,-4,14,15,-194
  └─ YOY Profit Growth %,-130%,-178%,167%,400%,232%,68%,-97%,-395%,-224%,71%,2064%,125%,-1163%
EPS in Rs,-0.78,-3.98,1.58,1.70,1.02,-1.27,0.05,-5.02,-1.27,-0.37,1.14,1.24,-15.17
Raw PDF,,,,,,,,,,,,,
