Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,348,373,587,461,493,514,749,681
  └─ YOY Sales Growth %,,,,,41.48%,37.57%,27.52%,47.73%
Expenses,346,378,537,436,438,473,584,557
  └─ Material Cost %,61%,63%,63%,61%,59%,60%,55%,56%
  └─ Employee Cost %,12%,12%,10%,12%,13%,14%,10%,11%
Operating Profit,2,-4,50,25,55,40,165,124
OPM %,1%,-1%,9%,5%,11%,8%,22%,18%
Other Income,11,11,16,23,12,12,11,15
  └─ Other income normal,10.95,10.72,15.83,22.99,12.06,11.66,10.77,15.09
Interest,46,55,53,54,53,52,53,53
Depreciation,26,36,40,45,49,51,54,56
Profit before tax,-59,-84,-27,-51,-35,-52,69,31
Tax %,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit,-59,-84,-27,-51,-35,-52,69,31
  └─ Minority share,0,0,0,0,0,0,0,1
  └─ Profit excl Excep,-59,-84,-27,-51,-35,-52,69,31
  └─ Profit for PE,-59,-84,-27,-51,-35,-52,69,32
  └─ Profit for EPS,-59,-84,-27,-51,-35,-52,69,32
  └─ YOY Profit Growth %,,,,,42%,39%,357%,163%
EPS in Rs,-27.61,-25.96,-7.94,-14.51,-9.80,-3.42,4.57,2.10
Raw PDF,,,,,,,,
