Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,548,603,606,709,817,825,925,940,939,1055,1029,1136
  └─ YOY Sales Growth %,,,,,49.10%,36.79%,52.56%,32.68%,14.95%,27.86%,11.29%,20.86%
Expenses,522,567,570,663,756,762,853,871,867,979,944,1060
  └─ Material Cost %,82%,81%,80%,79%,78%,77%,77%,78%,78%,76%,76%,77%
  └─ Employee Cost %,2%,2%,3%,4%,4%,4%,4%,4%,4%,5%,4%,5%
Operating Profit,26,36,36,46,61,64,72,70,72,77,85,76
OPM %,5%,6%,6%,6%,7%,8%,8%,7%,8%,7%,8%,7%
Other Income,1,5,1,1,1,4,1,3,3,5,0,3
  └─ Exceptional items,0.00,3.13,0.00,0.03,-0.08,-0.05,-0.01,0.00,0.03,0.00,-1.54,-1.45
  └─ Other income normal,1.05,1.63,0.88,1.30,1.32,4.22,1.12,2.79,2.62,4.81,1.90,4.00
Interest,6,6,7,9,12,6,7,11,12,16,15,14
Depreciation,2,2,3,6,5,6,8,11,12,15,15,15
Profit before tax,19,32,27,32,44,57,58,51,50,51,56,50
Tax %,9%,44%,43%,23%,29%,30%,28%,35%,21%,25%,23%,20%
Net Profit,17,18,15,24,32,40,42,33,39,38,43,40
  └─ Minority share,0.00,0.00,-0.53,-1.10,-1.33,-0.42,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,1.72,0.00,0.02,-0.06,-0.04,0.00,0.00,0.02,0.00,-1.19,-1.16
  └─ Profit excl Excep,17.30,16.43,15.33,24.45,31.58,40.10,41.68,33.11,39.26,38.32,44.46,41.23
  └─ Profit for PE,17.30,16.43,14.80,23.35,30.25,39.68,41.68,33.11,39.26,38.32,44.46,41.23
  └─ Profit for EPS,17.30,18.15,14.80,23.37,30.19,39.64,41.68,33.11,39.28,38.32,43.27,40.07
  └─ YOY Profit Growth %,,,,,74.84%,141.51%,181.62%,41.79%,29.80%,-3.43%,6.67%,24.52%
EPS in Rs,19.00,19.94,1.16,1.83,2.37,2.53,2.66,2.11,2.51,2.45,2.76,2.56
Raw PDF,,,,,,,,,,,,
