Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,337,357,363,364,312,400,360,458
  └─ YOY Sales Growth %,,,,,-7.49%,12.15%,-0.81%,26.01%
Expenses,257,244,272,272,217,273,254,356
  └─ Employee Cost %,9.45%,9.93%,9.46%,10.16%,12.28%,11.16%,13.92%,10.42%
Operating Profit,80,113,91,91,95,127,106,103
OPM %,24%,32%,25%,25%,30%,32%,29%,22%
Other Income,28,29,29,31,35,32,35,29
  └─ Other income normal,28.02,29.12,29.34,30.89,34.77,32.18,34.72,28.54
Interest,1,1,1,1,2,1,2,2
Depreciation,8,8,9,10,10,11,13,14
Profit before tax,100,133,110,111,118,146,125,116
Tax %,22%,28%,22%,25%,24%,24%,29%,22%
Net Profit,78,96,86,83,90,110,90,90
  └─ Minority share,0,0,0,0,0,0,-0,-0
  └─ Profit excl Excep,78,96,86,83,90,110,90,90
  └─ Profit for PE,78,96,86,83,90,110,90,90
  └─ Profit for EPS,78,96,86,83,90,110,90,90
  └─ YOY Profit Growth %,,,,,15%,15%,4%,8%
EPS in Rs,3.89,4.81,4.29,4.16,4.48,5.52,4.48,4.51
Raw PDF,,,,,,,,
