Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,338,586,309,420,764,452,996,910,450,1240,1030,717,884
  └─ YOY Sales Growth %,-14%,53%,-13%,44%,126%,-23%,223%,117%,-41%,174%,3%,-21%,96%
Expenses,331,573,301,415,749,427,977,896,439,1197,1005,704,874
  └─ Material Cost %,73%,80%,83%,82%,87%,72%,89%,91%,84%,90%,90%,90%,87%
  └─ Employee Cost %,4%,3%,5%,4%,2%,3%,2%,2%,3%,1%,1%,2%,2%
Operating Profit,7,12,7,6,15,25,18,14,11,43,24,14,10
OPM %,2%,2%,2%,1%,2%,5%,2%,2%,2%,4%,2%,2%,1%
Other Income,13,23,21,20,6,6,8,13,6,5,11,4,9
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-5.96,-0.04,0.00,0.00,0.00,-2.87,0.00
  └─ Other income normal,13.01,22.52,20.71,19.73,5.98,5.90,13.84,12.76,5.56,4.56,10.94,7.14,9.03
Interest,5,3,3,5,4,4,3,3,2,2,3,2,2
Depreciation,4,4,4,4,4,4,4,4,4,4,4,4,4
Profit before tax,12,27,21,17,14,24,20,20,10,42,28,11,13
Tax %,0%,0%,0%,0%,-145%,-29%,-0%,-19%,-124%,-9%,24%,65%,-37%
Net Profit,12,27,21,17,33,30,20,24,23,46,22,4,18
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,-0.04,0.15,0.30,0.44,0.02
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,-5.96,-0.04,0.00,0.00,0.00,-1.02,0.00
  └─ Profit excl Excep,11.76,27.48,20.93,17.07,33.27,30.38,25.93,24.38,23.24,45.56,21.52,5.07,17.94
  └─ Profit for PE,11.76,27.48,20.93,17.07,33.27,30.38,25.93,24.50,23.20,45.71,21.82,5.51,17.96
  └─ Profit for EPS,11.76,27.48,20.93,17.07,33.27,30.38,19.97,24.46,23.20,45.71,21.82,4.49,17.96
  └─ YOY Profit Growth %,-31.43%,73.16%,141.41%,1093.71%,182.91%,10.55%,23.89%,43.53%,-30.27%,50.46%,-15.85%,-77.51%,-22.59%
EPS in Rs,1.66,3.89,2.96,2.39,4.65,4.23,2.78,3.40,3.23,6.35,3.03,0.62,2.49
Raw PDF,,,,,,,,,,,,,
