Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,611,694,712,1127,1657,1527,1713,1621,1821,1837,1936,2230
  └─ YOY Sales Growth %,,,,,171.25%,120.16%,140.47%,43.87%,9.86%,20.28%,13.02%,37.60%
Expenses,540,595,589,942,1299,1147,1200,1092,1272,1276,1343,1555
  └─ Material Cost %,78%,75%,72%,74%,68%,59%,61%,58%,61%,59%,59%,60%
  └─ Employee Cost %,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Operating Profit,71,99,123,184,358,381,514,528,548,561,593,675
OPM %,12%,14%,17%,16%,22%,25%,30%,33%,30%,31%,31%,30%
Other Income,6,8,2,12,12,26,36,59,49,84,30,44
  └─ Other income normal,5.91,8.48,2.25,12.30,12.09,26.42,36.20,59.49,49.02,84.50,29.66,43.62
Interest,18,21,37,45,45,42,47,43,37,32,47,41
Depreciation,15,16,28,37,79,90,152,177,158,146,70,79
Profit before tax,44,71,61,115,246,275,351,368,403,467,505,598
Tax %,28%,25%,29%,9%,19%,25%,27%,25%,24%,24%,22%,24%
Net Profit,31,53,43,104,198,206,255,278,308,353,392,457
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,-0
  └─ Profit excl Excep,31,53,43,104,198,206,255,278,308,353,392,457
  └─ Profit for PE,31,53,43,104,198,206,255,278,308,353,392,457
  └─ Profit for EPS,31,53,43,104,198,206,255,278,308,353,392,457
  └─ YOY Profit Growth %,,,,,532%,290%,491%,167%,55%,72%,53%,64%
EPS in Rs,1.19,2.01,1.64,3.95,5.93,4.57,5.66,6.16,6.83,7.80,8.65,10.08
Raw PDF,,,,,,,,,,,,
