Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,101,114,144,125,140,146,193,172,222,175,232,207,208
  └─ YOY Sales Growth %,13.37%,142.36%,44.20%,141.76%,38.52%,16.60%,38.11%,,,20.03%,20.27%,20.48%,-6.24%
Expenses,80,92,114,97,108,113,150,133,172,135,181,163,170
  └─ Material Cost %,57%,51%,55%,46%,58%,55%,55%,50%,56%,48%,46%,47%,51%
  └─ Employee Cost %,5%,5%,4%,7%,5%,6%,6%,6%,5%,7%,6%,6%,6%
Operating Profit,20,23,30,28,31,33,43,39,50,40,51,44,38
OPM %,20%,20%,21%,22%,22%,23%,22%,23%,22%,23%,22%,21%,18%
Other Income,0,0,0,0,2,3,1,1,1,2,0,-1,0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.45,0.00
  └─ Other income normal,0.25,0.16,0.46,0.49,1.56,2.56,1.42,0.67,0.69,2.33,0.36,0.19,0.25
Interest,0,1,0,0,0,1,1,1,1,1,2,4,2
Depreciation,3,3,4,3,4,5,6,6,6,7,7,7,8
Profit before tax,18,19,27,25,29,29,38,33,43,35,43,32,29
Tax %,26%,27%,27%,26%,26%,17%,14%,8%,27%,26%,26%,21%,8%
Net Profit,13,14,19,19,22,24,33,30,32,26,32,26,27
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.15,0.00
  └─ Profit excl Excep,12.93,13.88,19.47,18.56,21.72,24.02,32.53,30.21,31.54,26.26,32.05,26.68,26.54
  └─ Profit for PE,12.93,13.88,19.47,18.56,21.72,24.02,32.53,30.21,31.54,26.26,32.05,26.68,26.54
  └─ Profit for EPS,12.93,13.88,19.47,18.56,21.72,24.02,32.53,30.21,31.54,26.26,32.05,25.53,26.54
  └─ YOY Profit Growth %,-17.85%,129.04%,-39.83%,259.69%,67.98%,29.42%,49.77%,,,9.33%,-1.48%,-11.68%,-15.85%
EPS in Rs,6.53,7.01,9.83,9.37,10.97,12.07,16.26,15.09,15.75,13.11,16.00,12.74,13.25
Raw PDF,,,,,,,,,,,,,
