Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,33.71,56.21,73.14,292.29,334.05,392.56,425.95,327.27,375.76,290.34,428.22
  └─ YOY Sales Growth %,,,,,890.95%,598.38%,482.38%,11.97%,12.49%,-26.04%,0.53%
Expenses,72.22,66.71,75.94,228.00,256.75,250.68,243.44,238.79,269.27,273.02,336.31
  └─ Material Cost %,68.76%,45.56%,25.62%,33.76%,37.09%,25.86%,26.04%,28.39%,29.57%,32.50%,34.16%
  └─ Employee Cost %,57.52%,33.82%,27.84%,18.09%,16.16%,14.61%,11.99%,17.86%,16.72%,21.26%,14.65%
Operating Profit,-38.51,-10.50,-2.80,64.29,77.30,141.88,182.51,88.48,106.49,17.32,91.91
OPM %,-114.24%,-18.68%,-3.83%,22.00%,23.14%,36.14%,42.85%,27.04%,28.34%,5.97%,21.46%
Other Income,-32.24,-74.13,2.62,-0.51,-1.42,-93.80,2.20,2.40,3.04,-2.46,2.13
  └─ Exceptional items,-32.33,-75.28,-0.02,-4.50,-5.82,-100.52,-0.69,-2.87,0.00,-7.09,0.03
  └─ Other income normal,0.09,1.15,2.64,3.99,4.40,6.72,2.89,5.27,3.04,4.63,2.10
Interest,24.55,26.01,20.46,42.05,45.05,45.82,33.41,27.48,33.96,38.23,22.51
Depreciation,18.43,19.53,19.53,68.35,68.28,68.77,68.49,67.80,69.83,69.64,71.83
Profit before tax,-113.73,-130.17,-40.17,-46.62,-37.45,-66.51,82.81,-4.40,5.74,-93.01,-0.30
Tax %,0.00%,0.00%,0.00%,-88.10%,12.36%,3.53%,-18.95%,-95.68%,-82.58%,-4.63%,-1630.00%
Net Profit,-113.73,-130.16,-40.17,-5.55,-42.08,-68.85,98.50,-0.19,10.49,-88.70,4.60
  └─ Exceptional items AT,-32,-75,-0,-4,-4,-95,-1,-3,0,-7,-0
  └─ Profit excl Excep,-81,-55,-40,-2,-38,26,99,3,10,-82,5
  └─ Profit for PE,-81,-55,-40,-2,-38,26,99,3,10,-82,5
  └─ Profit for EPS,-114,-130,-40,-6,-42,-69,98,-0,10,-89,5
  └─ YOY Profit Growth %,,,,,53%,147%,347%,268%,128%,-418%,-95%
EPS in Rs,,,,,,-6.02,8.61,-0.02,0.92,-7.74,0.40
Raw PDF,,,,,,,,,,,
