Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ YOY Sales Growth %,-100.00%,100.00%,,,,,,,,,,,
Expenses,11,14,13,11,11,12,12,10,12,14,13,10,10
Operating Profit,-11,-14,-13,-11,-11,-12,-12,-10,-12,-14,-13,-10,-10
OPM %,,,,,,,,,,,,,
Other Income,20,27,19,29,25,29,40,3,27,28,23,632,25
  └─ Exceptional items,-0.01,1.26,0.05,3.66,-0.34,1.48,0.04,-27.29,-0.01,0.09,0.00,606.22,-0.01
  └─ Other income normal,19.75,25.80,18.49,25.27,24.90,27.33,39.65,30.39,27.24,27.80,23.25,26.02,24.86
Interest,0,2,0,0,0,2,0,1,0,1,0,0,1
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,9,11,5,18,14,14,27,-7,14,14,10,621,14
Tax %,0%,37%,1%,0%,-1%,2%,-0%,0%,89%,77%,0%,2%,-17%
Net Profit,9,7,5,18,14,14,27,-7,2,3,10,612,17
  └─ Exceptional items AT,-0,1,0,4,-0,1,0,-27,0,0,0,597,-0
  └─ Profit excl Excep,9,6,5,14,14,13,27,20,2,3,10,15,17
  └─ Profit for PE,9,6,5,14,14,13,27,20,2,3,10,15,17
  └─ Profit for EPS,9,7,5,18,14,14,27,-7,2,3,10,612,17
  └─ YOY Profit Growth %,-27%,4%,-40%,70%,61%,97%,463%,38%,-89%,-75%,-64%,-24%,929%
EPS in Rs,1.48,1.21,0.82,3.00,2.33,2.36,4.58,-1.25,0.27,0.53,1.64,102.01,2.76
Raw PDF,,,,,,,,,,,,,
