Metric,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016
Sales,1931,1451,1341,1966,1829,1564,1502,1954,1484,1644,1872,2191,2548
  └─ YOY Sales Growth %,-3%,-8%,-2%,11%,-5%,8%,12%,-1%,-19%,5%,25%,12%,72%
Expenses,1459,931,842,1478,1447,1000,886,1424,1052,1114,1213,1399,1771
  └─ Material Cost %,56%,45%,38%,55%,52%,42%,36%,50%,46%,46%,41%,43%,52%
  └─ Employee Cost %,6%,7%,8%,6%,6%,7%,8%,6%,8%,7%,7%,6%,5%
Operating Profit,472,520,499,488,383,564,616,529,432,530,659,792,777
OPM %,24%,36%,37%,25%,21%,36%,41%,27%,29%,32%,35%,36%,30%
Other Income,32,29,27,38,122,84,71,81,89,93,88,149,147
  └─ Other income normal,32,29,27,38,122,84,71,81,89,93,88,149,147
Interest,302,325,363,416,368,452,494,425,461,560,585,668,718
Depreciation,30,26,28,44,54,48,43,50,12,58,59,71,87
Profit before tax,171,198,136,66,83,148,150,136,47,6,103,201,119
Tax %,-5%,34%,16%,-56%,-32%,13%,41%,11%,-34%,245%,47%,17%,52%
Net Profit,183,129,115,106,111,129,91,126,69,-10,55,164,62
  └─ Profit from Associates,4,-1,2,3,2,1,3,6,5,-1,1,-2,5
  └─ Minority share,-5,-5,-4,4,6,9,8,3,9,13,14,-5,19
  └─ Profit excl Excep,183,129,115,106,111,129,91,126,69,-10,55,164,62
  └─ Profit for PE,178,125,111,110,117,138,99,129,78,3,69,159,80
  └─ Profit for EPS,178,125,111,110,117,138,99,129,78,3,69,159,80
  └─ YOY Profit Growth %,1%,2%,-4%,6%,-34%,11%,-11%,18%,-34%,-98%,-30%,23%,3%
EPS in Rs,5.43,3.79,3.38,3.34,3.57,4.19,3.01,3.92,2.37,0.09,2.10,4.84,2.44
Raw PDF,,,,,,,,,,,,,
