Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2742,2115,2463,2580,3215,2621,3306,3125,3526,2999,3419,3172,3519
  └─ YOY Sales Growth %,-1.22%,-9.63%,-15.69%,0.23%,17.27%,23.93%,34.25%,21.13%,9.66%,14.44%,3.41%,1.52%,-0.19%
Expenses,2609,2048,2326,2505,3102,2549,3163,3027,3386,2949,3316,3064,3399
  └─ Material Cost %,83%,81%,78%,79%,80%,79%,80%,80%,80%,81%,80%,77%,80%
  └─ Employee Cost %,7%,9%,9%,11%,9%,10%,9%,10%,9%,10%,9%,11%,10%
Operating Profit,133,67,136,75,114,72,144,98,139,51,103,108,120
OPM %,5%,3%,6%,3%,4%,3%,4%,3%,4%,2%,3%,3%,3%
Other Income,3,6,9,16,10,20,12,9,10,40,28,5,28
  └─ Other income normal,3.25,5.98,8.86,15.67,10.35,19.58,11.85,8.97,9.74,39.78,28.26,4.53,28.46
Interest,27,23,24,31,28,33,34,30,29,34,43,36,34
Depreciation,23,22,23,23,26,23,25,27,36,30,33,32,36
Profit before tax,86,28,98,36,70,36,96,51,84,27,56,44,78
Tax %,11%,18%,10%,29%,6%,13%,8%,10%,11%,26%,13%,16%,8%
Net Profit,77,23,88,26,65,31,89,45,75,20,48,37,72
  └─ Minority share,-20,-4,-23,-11,-20,-11,-21,-18,-34,-7,-18,-17,-23
  └─ Profit excl Excep,77,23,88,26,65,31,89,45,75,20,48,37,72
  └─ Profit for PE,57,19,65,15,46,20,67,28,40,13,30,20,49
  └─ Profit for EPS,57,19,65,15,46,20,67,28,40,13,30,20,49
  └─ YOY Profit Growth %,-27%,-49%,-31%,-81%,-19%,6%,4%,90%,-12%,-35%,-56%,-29%,22%
EPS in Rs,4.32,1.44,4.95,1.11,3.47,1.51,4.80,1.96,2.85,0.92,2.12,1.39,3.47
Raw PDF,,,,,,,,,,,,,
