Metric,Dec 2021,Jun 2022,Dec 2022,Jun 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,348,716,279,268,268,274,270,275,282,291,277,450,528
  └─ YOY Sales Growth %,8%,113%,-20%,-63%,-4%,2%,,3%,,6%,2%,64%,87%
Expenses,66,465,77,42,73,47,46,51,49,46,45,78,140
  └─ Employee Cost %,1.78%,0.66%,1.41%,1.43%,1.49%,1.47%,1.71%,1.58%,1.50%,1.77%,1.55%,0.89%,0.76%
Operating Profit,282,251,202,226,195,227,224,224,232,245,232,372,388
OPM %,81%,35%,72%,84%,73%,83%,83%,81%,82%,84%,84%,83%,74%
Other Income,0,2,6,1,16,2,0,7,1,2,1,-2,32
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,1.55,1.31,-2.48,0.00
  └─ Other income normal,0.31,1.64,5.98,0.60,15.50,1.50,0.00,6.89,0.74,0.00,0.01,0.70,32.27
Interest,36,35,58,68,69,76,72,75,71,72,73,190,184
Depreciation,225,113,46,57,58,63,64,61,66,71,72,100,138
Profit before tax,22,104,103,102,84,89,88,94,97,103,89,80,99
Tax %,22%,1%,3%,2%,4%,3%,3%,3%,3%,3%,7%,26%,2%
Net Profit,17,103,100,101,81,86,85,91,94,100,83,60,97
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,1,1,-2,0
  └─ Profit excl Excep,17,103,100,101,81,86,85,91,94,98,82,62,97
  └─ Profit for PE,17,103,100,101,81,86,85,91,94,98,82,62,97
  └─ Profit for EPS,17,103,100,101,81,86,85,91,94,100,83,60,97
  └─ YOY Profit Growth %,-70%,-5%,476%,-2%,-19%,-15%,,12%,,14%,-4%,-32%,3%
EPS in Rs,0.30,1.77,1.73,1.73,1.39,1.48,1.47,1.57,1.61,1.72,1.43,0.47,0.75
Raw PDF,,,,,,,,,,,,,
