Metric,Dec 2019,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0,151,506,748,1278,1134,1793,1335,1595,1144,1704,1644,1823
  └─ YOY Sales Growth %,-100.00%,,,,,651.43%,254.15%,78.38%,24.85%,0.90%,-4.94%,23.21%,14.28%
Expenses,0,149,495,731,1246,1109,1778,1313,1558,1108,1676,1628,1767
  └─ Material Cost %,,98%,98%,97%,97%,96%,98%,97%,96%,95%,97%,98%,95%
  └─ Employee Cost %,,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%
Operating Profit,-0,2,11,17,32,25,15,22,37,36,28,17,56
OPM %,,1%,2%,2%,2%,2%,1%,2%,2%,3%,2%,1%,3%
Other Income,0,0,1,10,21,19,20,26,20,20,19,18,12
  └─ Other income normal,0.16,0.01,1.07,9.62,20.93,19.47,19.66,25.88,19.80,20.44,19.01,17.94,11.68
Interest,0,0,0,3,8,8,13,10,14,12,12,17,10
Depreciation,0,0,0,0,0,0,0,0,1,2,2,4,4
Profit before tax,0,2,12,23,44,36,22,37,42,43,33,14,54
Tax %,27%,26%,25%,26%,25%,27%,26%,25%,21%,24%,20%,21%,23%
Net Profit,0,1,9,17,34,26,16,28,33,32,27,11,41
  └─ Profit excl Excep,0.08,1.28,8.95,17.19,33.55,26.27,15.95,28.04,33.14,32.31,26.54,10.74,41.47
  └─ Profit for PE,0.08,1.28,8.95,17.19,33.55,26.27,15.95,28.04,33.14,32.31,26.54,10.74,41.47
  └─ Profit for EPS,0.08,1.28,8.95,17.19,33.55,26.27,15.95,28.04,33.14,32.31,26.54,10.74,41.47
  └─ YOY Profit Growth %,111.27%,,,,,1952.34%,78.21%,63.12%,-1.22%,22.99%,66.39%,-61.70%,25.14%
EPS in Rs,0.04,0.64,1.12,1.53,3.01,2.36,1.42,2.50,2.95,2.56,2.11,0.85,3.29
Raw PDF,,,,,,,,,,,,,
