Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,159,152,179,184,191
  └─ YOY Sales Growth %,,,,15.75%,25.82%
Expenses,136,125,161,159,160
  └─ Employee Cost %,46.36%,43.75%,49.42%,48.88%,46.81%
Operating Profit,23,28,19,25,31
OPM %,14%,18%,10%,14%,16%
Other Income,0,-1,2,4,32
  └─ Exceptional items,-1.16,-3.17,0.00,0.00,24.96
  └─ Other income normal,1.50,2.51,2.18,3.68,6.71
Interest,2,2,2,1,1
Depreciation,13,16,19,19,20
Profit before tax,9,9,-0,8,42
Tax %,-17%,-12%,-800%,1%,-2%
Net Profit,10,10,0,8,43
  └─ Exceptional items AT,-1,-3,0,0,23
  └─ Profit excl Excep,11,13,0,8,20
  └─ Profit for PE,11,13,0,8,20
  └─ Profit for EPS,10,10,0,8,43
  └─ YOY Profit Growth %,,,,-30%,54%
EPS in Rs,1.40,1.34,0.04,1.01,5.46
Raw PDF,,,,,
