Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,170,182,204,209,235,252,283,304,327,361,369,390,408
  └─ YOY Sales Growth %,18.69%,,45.69%,39.06%,38.35%,38.19%,38.53%,45.66%,39.41%,43.60%,30.67%,28.10%,24.73%
Interest,56,68,72,74,75,77,85,92,102,106,110,114,115
Expenses,51,57,59,61,67,73,79,85,83,97,98,113,110
  └─ Employee Cost %,21.36%,22.76%,21.07%,21.90%,20.99%,21.03%,19.31%,19.74%,18.82%,19.20%,18.60%,20.61%,19.46%
Financing Profit,63,57,73,74,93,102,119,127,142,158,161,163,183
Financing Margin %,37%,31%,36%,35%,40%,40%,42%,42%,44%,44%,44%,42%,45%
Other Income,8,6,7,10,10,9,1,0,0,0,0,0,0
  └─ Other income normal,7.54,6.00,6.58,9.51,9.66,9.17,0.84,0.15,0.13,0.09,0.03,0.02,0.04
Depreciation,2,2,2,2,3,3,3,3,3,3,3,3,3
Profit before tax,68,61,77,81,100,108,117,124,140,155,158,160,180
Tax %,22%,23%,22%,23%,22%,23%,23%,23%,23%,23%,23%,22%,24%
Net Profit,53,47,60,62,78,84,90,96,108,119,122,124,138
  └─ Profit excl Excep,53,47,60,62,78,84,90,96,108,119,122,124,138
  └─ Profit for PE,53,47,60,62,78,84,90,96,108,119,122,124,138
  └─ Profit for EPS,53,47,60,62,78,84,90,96,108,119,122,124,138
  └─ YOY Profit Growth %,7%,,67%,55%,47%,77%,50%,54%,39%,43%,35%,29%,27%
EPS in Rs,12.10,10.73,6.69,5.82,7.28,7.79,8.39,8.92,10.02,11.07,11.26,11.42,12.65
Gross NPA %,1.13%,1.09%,,1.20%,0.97%,1.14%,1.24%,1.25%,0.99%,1.24%,1.25%,1.54%,1.25%
Net NPA %,0.85%,0.80%,,0.90%,0.73%,0.86%,0.94%,0.94%,0.75%,0.95%,0.94%,1.16%,0.93%
Raw PDF,,,,,,,,,,,,,
