Metric,Sep 2021,Dec 2021,Mar 2022,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,76.05,70.66,84.94,61.79,105.72,84.80,99.25,95.68,112.69,91.36,102.33,107.89,120.93
  └─ YOY Sales Growth %,,17.32%,25.73%,,,,,54.85%,6.59%,7.74%,3.10%,12.76%,7.31%
Expenses,37.58,37.52,40.61,38.91,75.48,66.04,73.94,66.04,75.67,66.66,74.88,76.37,86.66
  └─ Material Cost %,20.91%,22.06%,22.35%,26.95%,31.42%,32.64%,32.87%,32.65%,33.62%,32.07%,32.48%,32.58%,34.06%
  └─ Employee Cost %,10.05%,10.68%,10.12%,15.83%,14.76%,18.97%,16.23%,17.12%,14.91%,19.55%,17.40%,18.08%,16.84%
Operating Profit,38.47,33.14,44.33,22.88,30.24,18.76,25.31,29.64,37.02,24.70,27.45,31.52,34.27
OPM %,50.59%,46.90%,52.19%,37.03%,28.60%,22.12%,25.50%,30.98%,32.85%,27.04%,26.82%,29.21%,28.34%
Other Income,1.45,2.46,2.58,3.24,3.38,2.91,8.43,0.85,3.78,3.34,5.80,7.07,6.83
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.35,0.22
  └─ Other income normal,1.45,2.46,2.58,3.24,3.38,2.91,8.43,0.85,3.78,3.34,5.80,8.42,6.61
Interest,1.56,1.37,0.45,2.51,4.25,4.32,4.84,5.03,5.20,5.07,5.18,6.05,6.25
Depreciation,4.81,5.35,7.24,10.06,12.33,11.03,14.03,17.41,20.03,19.94,22.48,25.04,29.08
Profit before tax,33.55,28.88,39.22,13.55,17.04,6.32,14.87,8.05,15.57,3.03,5.59,7.50,5.77
Tax %,25.78%,25.66%,24.89%,26.72%,39.50%,36.39%,30.80%,34.66%,34.49%,41.25%,40.61%,32.93%,27.56%
Net Profit,24.90,21.47,29.46,9.93,10.32,4.02,10.29,5.26,10.20,1.78,3.32,5.04,4.18
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-1,0
  └─ Profit excl Excep,25,21,29,10,10,4,10,5,10,2,3,6,4
  └─ Profit for PE,25,21,29,10,10,4,10,5,10,2,3,6,4
  └─ Profit for EPS,25,21,29,10,10,4,10,5,10,2,3,5,4
  └─ YOY Profit Growth %,,2%,25%,,,,,-47%,-1%,-56%,-68%,13%,-61%
EPS in Rs,4.89,4.04,5.54,1.87,1.94,0.76,1.93,0.99,1.92,0.33,0.62,0.95,0.79
Raw PDF,,,,,,,,,,,,,
