Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,18.38,38.97,34.96,50.52,57.72
  └─ YOY Sales Growth %,,,,174.86%,48.11%
Expenses,16.66,32.44,29.98,42.43,49.84
  └─ Material Cost %,50%,65%,51%,45%,61%
  └─ Employee Cost %,22%,15%,16%,14%,20%
Operating Profit,1.72,6.53,4.98,8.09,7.88
OPM %,9.36%,16.76%,14.24%,16.01%,13.65%
Other Income,0.01,0.04,0.11,0.09,0.06
  └─ Other income normal,0.01,0.04,0.11,0.09,0.06
Interest,0.02,0.03,0.25,0.21,0.56
Depreciation,0.20,0.69,0.45,0.49,0.45
Profit before tax,1.51,5.85,4.39,7.48,6.93
Tax %,5.96%,27.52%,5.01%,23.53%,20.20%
Net Profit,1.41,4.23,4.17,5.71,5.52
  └─ Minority share,-0.12,-0.38,-0.30,-1.08,-1.57
  └─ Profit excl Excep,1.41,4.23,4.17,5.71,5.52
  └─ Profit for PE,1.29,3.85,3.87,4.63,3.95
  └─ Profit for EPS,1.29,3.85,3.87,4.63,3.95
  └─ YOY Profit Growth %,,,,258.91%,2.60%
EPS in Rs,1.20,3.57,3.59,4.30,3.67
Raw PDF,,,,,
