Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,249,261,275,290,310,331,365,370,356,354,377,390,395
  └─ YOY Sales Growth %,2.49%,10.42%,13.50%,18.93%,24.56%,26.83%,32.75%,27.64%,14.72%,6.86%,3.17%,5.52%,10.96%
Expenses,140,151,153,160,167,182,195,197,197,200,209,211,213
  └─ Employee Cost %,35.15%,36.34%,35.51%,34.43%,33.75%,34.10%,32.47%,32.37%,33.08%,34.57%,33.12%,31.90%,31.71%
Operating Profit,109,110,122,129,143,150,170,173,159,154,168,179,183
OPM %,44%,42%,44%,45%,46%,45%,47%,47%,45%,43%,44%,46%,46%
Other Income,8,10,10,10,11,12,13,15,13,13,12,13,13
  └─ Other income normal,7.88,9.68,9.63,9.91,11.43,11.71,12.57,14.94,13.42,13.15,12.20,12.88,12.94
Interest,2,2,2,2,2,2,2,2,2,2,2,2,2
Depreciation,16,16,17,18,18,17,18,20,23,21,25,25,28
Profit before tax,99,101,112,119,135,142,162,166,148,144,153,165,166
Tax %,25%,25%,25%,25%,23%,25%,26%,25%,24%,25%,26%,24%,24%
Net Profit,74,76,84,89,103,107,121,124,113,108,114,125,125
  └─ Minority share,0,1,1,1,1,1,2,1,1,1,1,1,1
  └─ Profit excl Excep,74,76,84,89,103,107,121,124,113,108,114,125,125
  └─ Profit for PE,75,76,85,89,104,108,122,125,114,109,115,126,126
  └─ Profit for EPS,75,76,85,89,104,108,122,125,114,109,115,126,126
  └─ YOY Profit Growth %,1%,18%,17%,21%,39%,42%,45%,41%,10%,1%,-6%,0%,11%
EPS in Rs,3.05,3.11,3.44,3.63,4.21,4.40,4.97,5.08,4.61,4.41,4.64,5.07,5.10
Raw PDF,,,,,,,,,,,,,
