Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales,34.99,18.32,14.16,32.12,38.04,18.52,14.65,25.78
  └─ YOY Sales Growth %,,,,,8.72%,1.09%,3.46%,-19.74%
Expenses,30.01,15.59,11.88,27.37,33.45,16.34,15.46,25.13
  └─ Material Cost %,73%,61%,57%,70%,74%,66%,70%,78%
  └─ Employee Cost %,5%,10%,16%,7%,5%,11%,15%,8%
Operating Profit,4.98,2.73,2.28,4.75,4.59,2.18,-0.81,0.65
OPM %,14.23%,14.90%,16.10%,14.79%,12.07%,11.77%,-5.53%,2.52%
Other Income,0.77,0.66,0.66,0.00,0.67,-0.41,3.89,0.56
  └─ Other income normal,0.77,0.66,0.66,0.00,0.67,-0.41,3.89,0.56
Interest,1.90,1.78,1.96,1.76,3.69,1.73,2.24,2.24
Depreciation,0.60,0.69,0.99,1.30,0.83,0.88,0.85,1.55
Profit before tax,3.25,0.92,-0.01,1.69,0.74,-0.84,-0.01,-2.58
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,3.26,0.92,-0.01,1.69,0.74,-0.85,-0.02,-2.58
  └─ Profit excl Excep,3,1,-0,2,1,-1,-0,-3
  └─ Profit for PE,3,1,-0,2,1,-1,-0,-3
  └─ Profit for EPS,3,1,-0,2,1,-1,-0,-3
  └─ YOY Profit Growth %,,,,,-77%,-192%,-100%,-253%
EPS in Rs,0.12,0.03,-0.00,0.06,0.03,-0.03,-0.00,-0.09
Raw PDF,,,,,,,,
