Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,313,350,352,358,379,425,472,520
  └─ YOY Sales Growth %,,,,,20.99%,21.24%,34.19%,44.99%
Expenses,121,136,134,126,138,155,167,181
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,0.84%,0.04%,0.05%,0.82%
  └─ Employee Cost %,4.45%,4.62%,4.53%,5.38%,6.16%,5.44%,5.20%,4.60%
Operating Profit,192,214,218,232,241,270,306,338
OPM %,61%,61%,62%,65%,64%,64%,65%,65%
Other Income,10,10,12,4,9,16,16,13
  └─ Other income normal,9.73,10.47,11.79,3.62,8.78,16.28,16.02,13.02
Interest,86,86,85,80,81,93,97,95
Depreciation,147,160,167,161,174,198,223,234
Profit before tax,-31,-21,-22,-5,-6,-4,2,22
Tax %,-26%,-25%,-28%,68%,-25%,-28%,21%,25%
Net Profit,-23,-16,-16,-8,-4,-3,1,17
  └─ Profit excl Excep,-23,-16,-16,-8,-4,-3,1,17
  └─ Profit for PE,-23,-16,-16,-8,-4,-3,1,17
  └─ Profit for EPS,-23,-16,-16,-8,-4,-3,1,17
  └─ YOY Profit Growth %,,,,,82%,80%,108%,300%
EPS in Rs,-2.78,-1.89,-1.55,-0.80,-0.41,-0.27,0.11,1.45
Raw PDF,,,,,,,,
