Metric,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ YOY Sales Growth %,,,,-100.00%,-100.00%,,,,,
Expenses,0.47,0.54,0.92,0.64,1.48,3.42,1.26,2.71,1.86,7.75
  └─ Employee Cost %,113.33%,110.00%,,,,,,,,
Operating Profit,-0.17,-0.24,-0.92,-0.64,-1.48,-3.42,-1.26,-2.71,-1.86,-7.75
OPM %,-56.67%,-80.00%,,,,,,,,
Other Income,0.07,0.07,0.11,0.10,0.19,0.20,0.14,0.02,0.02,0.04
  └─ Other income normal,0.07,0.07,0.11,0.10,0.19,0.20,0.14,0.02,0.02,0.04
Interest,0.03,0.02,0.02,0.02,0.36,0.01,0.17,0.27,0.00,0.71
Depreciation,0.08,0.08,0.10,0.11,0.90,0.14,0.55,0.56,0.55,0.59
Profit before tax,-0.21,-0.27,-0.93,-0.67,-2.55,-3.37,-1.84,-3.52,-2.39,-9.01
Tax %,19.05%,-7.41%,1.08%,-1.49%,-2.35%,-1.78%,-3.80%,-1.70%,-1.26%,-0.89%
Net Profit,-0.25,-0.24,-0.94,-0.66,-2.49,-3.31,-1.76,-3.45,-2.36,-8.92
  └─ Minority share,0,0,0,-0,0,1,0,1,-0,1
  └─ Profit excl Excep,-0,-0,-1,-1,-2,-3,-2,-3,-2,-9
  └─ Profit for PE,-0,-0,-1,-1,-2,-3,-2,-3,-2,-8
  └─ Profit for EPS,-0,-0,-1,-1,-2,-3,-2,-3,-2,-8
  └─ YOY Profit Growth %,,,,-192%,-892%,,-142%,-297%,-4%,-193%
EPS in Rs,-0.02,-0.02,-0.05,-0.05,-0.16,-0.18,-0.11,-0.19,-0.16,-0.53
Raw PDF,,,,,,,,,,
