Metric,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales,6.85,10.98,11.57,8.02,4.79,6.89,2.59,8.28,12.13,36.99,29.94,24.93,18.95
  └─ YOY Sales Growth %,241%,199%,136%,-16%,-30%,-37%,-78%,3%,153%,437%,1056%,201%,56%
Expenses,6.94,10.30,11.26,7.84,4.58,6.99,3.28,6.21,11.53,36.95,32.89,24.99,18.04
  └─ Material Cost %,58%,68%,78%,81%,74%,91%,86%,84%,91%,97%,99%,99%,94%
  └─ Employee Cost %,3%,3%,3%,2%,5%,3%,8%,-4%,1%,0%,0%,0%,0%
Operating Profit,-0.09,0.68,0.31,0.18,0.21,-0.10,-0.69,2.07,0.60,0.04,-2.95,-0.06,0.91
OPM %,-1.31%,6.19%,2.68%,2.24%,4.38%,-1.45%,-26.64%,25.00%,4.95%,0.11%,-9.85%,-0.24%,4.80%
Other Income,0.02,0.02,0.02,0.04,0.00,0.04,0.23,0.16,0.28,-0.20,6.18,5.71,-0.15
  └─ Other income normal,0.02,0.02,0.02,0.04,0.00,0.04,0.23,0.16,0.28,-0.20,6.18,5.71,-0.15
Interest,0.20,0.22,0.21,0.15,0.20,0.22,0.22,-0.28,0.08,0.08,0.00,0.01,0.02
Depreciation,0.21,0.25,0.24,0.50,0.29,0.29,0.31,0.25,0.22,0.22,0.03,0.03,0.07
Profit before tax,-0.48,0.23,-0.12,-0.43,-0.28,-0.57,-0.99,2.26,0.58,-0.46,3.20,5.61,0.67
Tax %,0.00%,0.00%,0.00%,6.98%,0.00%,3.51%,0.00%,-9.73%,0.00%,0.00%,0.00%,14.80%,23.88%
Net Profit,-0.48,0.24,-0.12,-0.45,-0.28,-0.59,-0.98,2.48,0.59,-0.47,3.20,4.78,0.51
  └─ Minority share,0.00,0.00,0.00,0.00,0.14,0.30,0.00,-1.34,-0.22,0.47,0.00,0.00,0.00
  └─ Profit excl Excep,-0.48,0.24,-0.12,-0.45,-0.28,-0.59,-0.98,2.48,0.59,-0.47,3.20,4.78,0.51
  └─ Profit for PE,-0.48,0.24,-0.12,-0.45,-0.14,-0.29,-0.98,1.14,0.37,0.00,3.20,4.78,0.51
  └─ Profit for EPS,-0.48,0.24,-0.12,-0.45,-0.14,-0.29,-0.98,1.14,0.37,0.00,3.20,4.78,0.51
  └─ YOY Profit Growth %,-100.00%,-33.33%,75.00%,-125.00%,70.83%,-220.83%,-716.67%,353.33%,364.29%,100.00%,426.53%,319.30%,37.84%
EPS in Rs,-0.01,0.00,-0.00,-0.01,-0.00,-0.00,-0.01,0.01,0.00,0.00,0.04,0.05,0.01
Raw PDF,,,,,,,,,,,,,
