Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,140,207,328,314,238,307,352,364
  └─ YOY Sales Growth %,,,,,69.48%,48.54%,7.13%,15.96%
Expenses,127,168,296,272,208,272,312,326
  └─ Material Cost %,64%,58%,76%,69%,67%,65%,69%,68%
  └─ Employee Cost %,14%,13%,8%,9%,11%,10%,8%,8%
Operating Profit,13,39,33,42,29,34,40,38
OPM %,10%,19%,10%,13%,12%,11%,11%,10%
Other Income,3,2,1,2,4,2,3,5
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-1.15,0.00
  └─ Other income normal,2.97,1.96,1.04,2.35,4.21,2.33,3.84,5.29
Interest,5,5,4,5,6,4,4,3
Depreciation,2,3,3,4,4,4,4,4
Profit before tax,9,32,26,35,24,29,35,36
Tax %,25%,26%,31%,18%,27%,23%,26%,24%
Net Profit,7,24,18,29,18,22,25,27
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,-0.84,0.00
  └─ Profit excl Excep,6.94,23.86,17.73,28.52,17.95,22.20,26.33,27.00
  └─ Profit for PE,6.94,23.86,17.73,28.52,17.95,22.20,26.33,27.00
  └─ Profit for EPS,6.94,23.86,17.73,28.52,17.95,22.20,25.49,27.00
  └─ YOY Profit Growth %,,,,,158.65%,-6.96%,48.51%,-5.33%
EPS in Rs,1.39,4.77,3.55,5.70,3.59,3.88,4.46,4.72
Raw PDF,,,,,,,,
