Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,20.68,16.24,21.33,12.91,46.28,46.29,48.54,39.86,41.46,28.90,66.77,50.04,62.28
  └─ YOY Sales Growth %,459%,2800%,556%,-16%,124%,185%,128%,209%,-10%,-38%,38%,26%,50%
Expenses,27.31,17.02,20.74,11.44,44.10,42.84,45.80,37.55,38.82,25.74,65.11,48.95,66.43
  └─ Material Cost %,121%,91%,86%,76%,92%,89%,88%,88%,88%,82%,88%,86%,76%
  └─ Employee Cost %,1%,3%,2%,2%,0%,1%,1%,1%,1%,1%,1%,1%,1%
Operating Profit,-6.63,-0.78,0.59,1.47,2.18,3.45,2.74,2.31,2.64,3.16,1.66,1.09,-4.15
OPM %,-32.06%,-4.80%,2.77%,11.39%,4.71%,7.45%,5.64%,5.80%,6.37%,10.93%,2.49%,2.18%,-6.66%
Other Income,0.06,3.00,1.09,0.21,0.17,24.85,0.65,1.71,0.69,0.71,0.63,1.88,16.80
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,24.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.06,3.00,1.09,0.21,0.17,0.03,0.65,1.71,0.69,0.71,0.63,1.88,16.80
Interest,0.14,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.01,0.00,0.32,1.01,1.14
Depreciation,0.71,0.93,0.92,0.88,0.79,0.83,0.90,0.87,1.02,1.07,1.06,1.03,1.02
Profit before tax,-7.42,1.29,0.76,0.80,1.56,27.46,2.49,3.12,2.30,2.80,0.91,0.93,10.49
Tax %,-15.63%,2.33%,0.00%,3.75%,5.13%,15.00%,0.80%,3.85%,-65.22%,11.07%,12.09%,23.66%,23.55%
Net Profit,-6.25,1.25,0.76,0.77,1.48,23.34,2.47,3.00,3.79,2.49,0.80,0.72,8.14
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,-0,-0,0
  └─ Exceptional items AT,0,0,0,0,0,21,0,0,0,0,0,0,0
  └─ Profit excl Excep,-6,1,1,1,1,2,2,3,4,2,1,1,8
  └─ Profit for PE,-6,1,1,1,1,2,2,3,4,2,1,1,8
  └─ Profit for EPS,-6,1,1,1,1,23,2,3,4,2,1,1,8
  └─ YOY Profit Growth %,-29%,44%,-22%,-65%,124%,79%,225%,290%,156%,11%,-71%,-77%,119%
EPS in Rs,-0.17,0.03,0.02,0.02,0.03,0.50,0.04,0.05,0.06,0.03,0.01,0.01,0.08
Raw PDF,,,,,,,,,,,,,
