Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,183,113,153,496,609,568,635,649,665,622,666,551,858
  └─ YOY Sales Growth %,-52.50%,-55.57%,-29.37%,57.73%,233.56%,402.00%,315.36%,30.90%,9.20%,9.68%,5.00%,-15.07%,28.93%
Expenses,172,105,138,425,479,432,486,494,501,479,530,492,775
  └─ Material Cost %,74%,67%,64%,71%,64%,62%,64%,61%,63%,64%,65%,71%,74%
  └─ Employee Cost %,7%,13%,12%,4%,4%,4%,4%,4%,4%,5%,5%,7%,4%
Operating Profit,11,8,15,71,131,136,149,154,164,144,136,59,83
OPM %,6%,7%,10%,14%,21%,24%,23%,24%,25%,23%,20%,11%,10%
Other Income,1,1,1,1,1,3,6,4,4,2,6,8,10
  └─ Other income normal,0.58,0.54,0.75,1.42,0.85,2.96,5.73,3.96,4.44,1.90,5.54,7.70,9.70
Interest,4,3,4,5,8,8,11,12,13,10,13,18,18
Depreciation,4,5,5,5,5,5,5,5,5,6,7,7,9
Profit before tax,3,1,7,63,119,126,138,142,150,130,122,42,66
Tax %,24%,-41%,21%,28%,25%,26%,27%,26%,27%,25%,25%,24%,42%
Net Profit,2,1,6,45,90,93,101,104,110,97,91,32,38
  └─ Profit excl Excep,2,1,6,45,90,93,101,104,110,97,91,32,38
  └─ Profit for PE,2,1,6,45,90,93,101,104,110,97,91,32,38
  └─ Profit for EPS,2,1,6,45,90,93,101,104,110,97,91,32,38
  └─ YOY Profit Growth %,-90%,-89%,207%,302%,3885%,9166%,1637%,130%,23%,4%,-11%,-70%,-65%
EPS in Rs,0.20,0.09,0.53,4.10,7.46,7.71,8.44,8.66,9.17,8.06,7.35,2.57,3.11
Raw PDF,,,,,,,,,,,,,
