Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4858,4873,5808,3710,4152,3763,4457,3360,4029,4347,4900,3831,4618
  └─ YOY Sales Growth %,27.80%,14.44%,24.71%,-7.61%,-14.52%,-22.79%,-23.26%,-9.42%,-2.97%,15.53%,9.95%,14.01%,14.60%
Expenses,4237,4307,5108,3256,3516,3277,3912,2974,3584,3825,4291,3409,4174
  └─ Material Cost %,49%,48%,48%,52%,52%,53%,64%,62%,63%,63%,63%,64%,68%
  └─ Employee Cost %,10%,10%,9%,10%,7%,10%,9%,12%,10%,10%,9%,12%,10%
Operating Profit,621,567,700,453,637,485,545,387,445,521,609,422,444
OPM %,13%,12%,12%,12%,15%,13%,12%,12%,11%,12%,12%,11%,10%
Other Income,117,132,146,256,479,298,544,423,341,124,126,19,116
  └─ Exceptional items,0,0,0,94,154,141,309,251,190,0,4,-65,15
  └─ Other income normal,117,132,146,162,325,157,236,172,151,124,121,84,100
Interest,10,4,5,3,21,5,18,3,2,5,4,6,14
Depreciation,78,88,79,60,63,70,62,66,66,71,69,71,74
Profit before tax,649,607,762,646,1032,709,1009,740,718,570,662,364,472
Tax %,27%,25%,25%,22%,22%,18%,18%,17%,19%,26%,27%,24%,21%
Net Profit,472,456,572,506,803,578,831,615,582,423,485,278,370
  └─ Minority share,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Exceptional items AT,0,0,0,94,154,141,309,251,190,0,4,-47,15
  └─ Profit excl Excep,472,456,572,412,649,437,522,363,393,423,481,325,355
  └─ Profit for PE,471,456,571,411,649,437,522,363,393,423,480,324,355
  └─ Profit for EPS,471,456,571,505,803,578,831,614,582,423,485,277,370
  └─ YOY Profit Growth %,43%,51%,50%,-11%,38%,-4%,-9%,-12%,-40%,-3%,-8%,-11%,-10%
EPS in Rs,13.24,12.79,16.04,14.19,22.54,16.22,23.33,17.25,16.34,11.88,13.62,7.79,10.39
Raw PDF,,,,,,,,,,,,,
