Metric,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0,206,160,165,191,201,162,172,194
  └─ YOY Sales Growth %,,,,,,-2.62%,1.35%,3.81%,1.77%
Expenses,6,31,30,29,30,30,33,33,36
  └─ Employee Cost %,,0.14%,0.18%,0.17%,0.20%,0.21%,0.27%,0.29%,0.31%
Operating Profit,-6,175,130,136,161,171,129,139,159
OPM %,,85%,81%,82%,84%,85%,80%,81%,82%
Other Income,0,13,20,28,18,14,15,14,14
  └─ Other income normal,0.00,13.03,20.16,27.75,18.18,14.21,15.17,13.70,14.17
Interest,0,69,70,69,69,65,69,62,61
Depreciation,0,73,73,74,72,73,74,74,64
Profit before tax,-6,45,7,21,39,47,2,16,47
Tax %,0%,-15%,-128%,-39%,-10%,-7%,-477%,-39%,-11%
Net Profit,-6,52,16,29,42,51,9,22,52
  └─ Profit excl Excep,-6,52,16,29,42,51,9,22,52
  └─ Profit for PE,-6,52,16,29,42,51,9,22,52
  └─ Profit for EPS,-6,52,16,29,42,51,9,22,52
  └─ YOY Profit Growth %,,,,569%,,-2%,-45%,-23%,23%
EPS in Rs,,1.59,0.48,0.90,1.31,1.57,0.27,0.69,1.61
Raw PDF,,,,,,,,,
