Metric,Jun 2019,Sep 2019,Dec 2019,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,1.17,1.36,1.55,-0.00,-0.00,0.08,-0.00,-0.00,-0.00,0.08,0.07,0.07,-0.00
  └─ YOY Sales Growth %,-10.69%,-31.66%,-2.52%,,,,,,,0.00%,,,
Interest,-0.00,0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Expenses,1.05,1.17,1.41,-0.00,-0.00,0.08,4.76,0.34,0.09,0.12,0.03,0.03,0.04
  └─ Material Cost %,82.05%,81.62%,87.74%,,,0.00%,,,,0.00%,0.00%,0.00%,
  └─ Employee Cost %,4.27%,3.68%,2.58%,,,0.00%,,,,12.50%,14.29%,14.29%,
Financing Profit,0.12,0.18,0.14,-0.00,-0.00,-0.00,-4.76,-0.34,-0.09,-0.04,0.04,0.04,-0.04
Financing Margin %,10.26%,13.24%,9.03%,,,-0.00%,,,,-50.00%,57.14%,57.14%,
Other Income,0.04,0.02,-0.00,-0.00,-0.00,0.02,0.06,-0.00,-0.00,-0.00,4.82,0.02,0.03
  └─ Other income normal,0.04,0.02,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.00,4.82,0.02,0.03
Depreciation,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Profit before tax,0.16,0.20,0.14,-0.00,-0.00,0.02,-4.70,-0.34,-0.09,-0.04,4.86,0.06,-0.01
Tax %,18.75%,20.00%,21.43%,,,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-300.00%
Net Profit,0.14,0.16,0.10,-0.00,-0.00,0.02,-4.70,-0.34,-0.09,-0.04,4.86,0.06,0.01
  └─ Profit excl Excep,0,0,0,0,0,0,-5,-0,-0,-0,5,0,0
  └─ Profit for PE,0,0,0,0,0,0,-5,-0,-0,-0,5,0,0
  └─ Profit for EPS,0,0,0,0,0,0,-5,-0,-0,-0,5,0,0
  └─ YOY Profit Growth %,-46%,45%,-47%,,,,,,,-300%,203%,118%,111%
EPS in Rs,0.38,0.43,0.27,-0.00,-0.00,0.05,-0.09,-0.01,-0.00,-0.00,0.09,0.00,0.00
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
