Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,88.29,93.76,103.39,87.27,93.96
  └─ YOY Sales Growth %,,,,-1.16%,0.21%
Expenses,69.83,76.41,82.09,70.29,76.28
  └─ Material Cost %,47.89%,46.90%,47.68%,41.30%,38.41%
  └─ Employee Cost %,15.75%,16.19%,15.94%,19.27%,19.88%
Operating Profit,18.46,17.35,21.30,16.98,17.68
OPM %,20.91%,18.50%,20.60%,19.46%,18.82%
Other Income,-1.38,1.74,2.99,2.31,2.89
  └─ Exceptional items,-2.35,-2.22,0.00,0.00,0.00
  └─ Other income normal,0.97,3.96,2.99,2.31,2.89
Interest,1.88,3.29,3.61,4.43,3.94
Depreciation,3.24,3.57,4.24,4.39,4.80
Profit before tax,11.96,12.23,16.44,10.47,11.83
Tax %,25.17%,26.17%,25.73%,18.62%,23.50%
Net Profit,8.95,9.03,12.22,8.52,9.05
  └─ Exceptional items AT,-1.76,-1.64,0.00,0.00,0.00
  └─ Profit excl Excep,10.71,10.67,12.22,8.52,9.05
  └─ Profit for PE,10.71,10.67,12.22,8.52,9.05
  └─ Profit for EPS,8.95,9.03,12.22,8.52,9.05
  └─ YOY Profit Growth %,,,,-20.45%,-15.18%
EPS in Rs,8.86,8.95,12.11,8.40,8.93
Raw PDF,,,,,
