Metric,Mar 2021,Dec 2021,Mar 2022,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,6.01,19.91,12.37,29.20,44.59,54.70,73.74,49.52,66.67,74.41,102.07
  └─ YOY Sales Growth %,,,105.82%,,,,,69.59%,49.52%,36.03%,38.42%
Expenses,4.91,17.55,10.59,23.70,38.55,51.70,67.10,44.11,59.26,65.32,96.65
  └─ Material Cost %,56%,70%,70%,69%,70%,77%,65%,64%,71%,68%,73%
  └─ Employee Cost %,6%,2%,3%,2%,2%,4%,4%,4%,4%,5%,4%
Operating Profit,1.10,2.36,1.78,5.50,6.04,3.00,6.64,5.41,7.41,9.09,5.42
OPM %,18.30%,11.85%,14.39%,18.84%,13.55%,5.48%,9.00%,10.92%,11.11%,12.22%,5.31%
Other Income,0.15,0.01,0.05,0.03,1.63,0.18,2.23,2.30,2.23,2.44,4.77
  └─ Other income normal,0.15,0.01,0.05,0.03,1.63,0.18,2.23,2.30,2.23,2.44,4.77
Interest,0.68,0.29,0.36,0.25,0.22,0.32,0.38,0.54,0.74,1.19,0.65
Depreciation,0.42,0.36,0.36,0.75,0.76,1.29,1.54,1.31,1.49,2.06,2.56
Profit before tax,0.15,1.72,1.11,4.53,6.69,1.57,6.95,5.86,7.41,8.28,6.98
Tax %,60.00%,14.53%,22.52%,26.05%,26.01%,96.18%,25.18%,24.91%,21.73%,22.58%,20.06%
Net Profit,0.06,1.46,0.85,3.35,4.94,0.05,5.20,4.40,5.80,6.41,5.59
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,1.10,-1.10,-0.13,-0.17,-0.27,-0.15
  └─ Profit excl Excep,0.06,1.46,0.85,3.35,4.94,0.05,5.20,4.40,5.80,6.41,5.59
  └─ Profit for PE,0.06,1.46,0.85,3.35,4.94,1.15,4.10,4.27,5.63,6.14,5.44
  └─ Profit for EPS,0.06,1.46,0.85,3.35,4.94,1.15,4.10,4.27,5.63,6.14,5.44
  └─ YOY Profit Growth %,,,1316.67%,,,,,27.46%,13.97%,433.91%,32.68%
EPS in Rs,0.04,0.87,0.37,1.31,1.93,0.45,1.60,1.67,2.20,2.40,2.12
Raw PDF,,,,,,,,,,,
