Metric,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales,10,6,15,9,6,14,12,17,8,7,20,9,11
  └─ YOY Sales Growth %,159.09%,-62.46%,-45.54%,-55.96%,-36.64%,139.05%,-19.87%,85.75%,24.76%,-49.50%,70.27%,-44.59%,39.82%
Expenses,13,8,15,11,8,18,15,50,12,11,12,54,19
  └─ Material Cost %,64%,63%,55%,70%,45%,82%,52%,211%,72%,73%,24%,458%,41%
  └─ Employee Cost %,46%,45%,33%,26%,43%,26%,43%,33%,49%,44%,17%,59%,90%
Operating Profit,-4,-2,-1,-2,-1,-4,-3,-34,-4,-4,8,-45,-8
OPM %,-37%,-34%,-3%,-18%,-24%,-25%,-27%,-204%,-51%,-61%,39%,-493%,-79%
Other Income,3,1,2,3,1,3,5,54,4,5,0,0,0
  └─ Exceptional items,0.00,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,3.46,0.65,2.17,3.55,1.32,2.77,4.55,53.82,3.54,4.68,0.42,0.14,0.10
Interest,2,2,2,1,1,1,2,2,0,1,0,0,1
Depreciation,1,1,1,1,1,1,1,1,1,1,1,-0,1
Profit before tax,-2,-4,-1,-0,-2,-3,-1,18,-1,-1,7,-45,-10
Tax %,0%,-3%,-4%,-1989%,-6%,-9%,-25%,-18%,281%,-18%,-1%,-9%,9%
Net Profit,-2,-4,-1,4,-2,-3,-1,21,-5,-1,7,-41,-11
  └─ Minority share,0,0,0,0,0,0,0,-0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,-0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-2,-4,-1,4,-2,-3,-1,21,-5,-1,7,-41,-11
  └─ Profit for PE,-2,-4,-1,4,-2,-3,-1,21,-5,-1,7,-41,-11
  └─ Profit for EPS,-2,-4,-1,4,-2,-3,-1,21,-5,-1,7,-41,-11
  └─ YOY Profit Growth %,35%,-279%,80%,140%,10%,26%,-29%,462%,-125%,66%,929%,-297%,-110%
EPS in Rs,-0.81,-1.20,-0.23,1.17,-0.73,-0.88,-0.29,6.76,-1.64,-0.30,2.43,-13.35,-3.43
Raw PDF,,,,,,,,,,,,,
