Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1526,1781,2069,2167,2274,2262,2354,2341,2553
  └─ YOY Sales Growth %,,,,,49.02%,27.02%,13.77%,8.02%,12.24%
Expenses,1348,1541,1825,1905,1998,1982,2057,2054,2263
  └─ Material Cost %,78%,80%,81%,81%,81%,81%,81%,81%,81%
  └─ Employee Cost %,5%,4%,4%,4%,3%,4%,4%,4%,4%
Operating Profit,179,240,243,262,276,281,296,287,290
OPM %,12%,13%,12%,12%,12%,12%,13%,12%,11%
Other Income,4,9,13,29,10,29,27,27,21
  └─ Exceptional items,-12.26,0.00,0.00,0.00,0.00,0.00,0.00,-6.41,1.27
  └─ Other income normal,16.09,9.08,13.42,28.83,10.30,29.06,26.91,33.68,20.11
Interest,69,77,89,77,64,80,56,50,46
Depreciation,89,83,81,83,83,90,87,93,92
Profit before tax,25,89,86,131,139,140,181,171,174
Tax %,35%,20%,15%,23%,21%,20%,26%,29%,25%
Net Profit,16,72,73,101,110,112,133,122,130
  └─ Exceptional items AT,-6,0,0,0,0,0,0,-5,1
  └─ Profit excl Excep,22,72,73,101,110,112,133,127,129
  └─ Profit for PE,22,72,73,101,110,112,133,127,129
  └─ Profit for EPS,16,72,73,101,110,112,133,122,130
  └─ YOY Profit Growth %,,,,,395%,56%,82%,26%,18%
EPS in Rs,0.25,1.10,1.13,1.55,1.69,1.26,1.49,1.37,1.46
Raw PDF,,,,,,,,,
