Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,11.12,10.02,9.11,10.02,10.20,10.20,9.86
  └─ YOY Sales Growth %,,,,,-8.27%,1.80%,8.23%
Expenses,9.62,9.07,7.54,8.80,9.22,9.65,9.73
  └─ Material Cost %,52%,53%,42%,41%,55%,56%,58%
  └─ Employee Cost %,23%,23%,-14%,24%,14%,15%,15%
Operating Profit,1.50,0.95,1.57,1.22,0.98,0.55,0.13
OPM %,13.49%,9.48%,17.23%,12.18%,9.61%,5.39%,1.32%
Other Income,0.07,0.80,0.54,0.40,-0.05,0.45,2.18
  └─ Exceptional items,0.00,0.44,0.29,0.00,-0.26,0.16,0.91
  └─ Other income normal,0.07,0.36,0.25,0.40,0.21,0.29,1.27
Interest,0.57,0.40,0.39,0.39,0.38,0.30,0.18
Depreciation,0.55,0.55,0.50,0.52,0.45,0.44,0.51
Profit before tax,0.45,0.80,1.22,0.71,0.10,0.26,1.62
Tax %,33.33%,11.25%,24.59%,25.35%,140.00%,38.46%,6.79%
Net Profit,0.35,0.71,0.93,0.53,-0.05,0.16,1.50
  └─ Profit from Associates,0,0,0,0,0,0,0
  └─ Minority share,0,0,-0,-0,0,-0,-1
  └─ Exceptional items AT,0,0,0,0,-0,0,1
  └─ Profit excl Excep,0,0,1,1,0,0,1
  └─ Profit for PE,0,0,1,0,0,-0,0
  └─ Profit for EPS,0,1,1,0,0,-0,1
  └─ YOY Profit Growth %,,,,,-3%,-178%,-60%
EPS in Rs,0.32,0.65,0.75,0.38,0.07,-0.04,0.52
Raw PDF,,,,,,,
