Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,194,172,153,161,181,203,212,209,224,218,220,248,286
  └─ YOY Sales Growth %,,,,,-6.64%,17.51%,38.92%,29.61%,23.65%,7.64%,3.87%,18.84%,27.61%
Expenses,179,167,145,147,164,180,191,186,205,198,202,226,265
  └─ Material Cost %,82%,87%,84%,79%,80%,79%,79%,78%,82%,82%,82%,81%,84%
  └─ Employee Cost %,2%,2%,3%,3%,2%,2%,2%,2%,2%,2%,2%,3%,2%
Operating Profit,16,5,8,15,17,22,21,23,19,20,18,23,21
OPM %,8%,3%,5%,9%,9%,11%,10%,11%,9%,9%,8%,9%,8%
Other Income,3,2,-1,2,3,0,3,3,4,3,4,3,5
  └─ Exceptional items,0.00,0.00,-1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,3.28,2.16,0.92,1.69,2.98,0.46,3.49,2.53,3.54,3.42,3.90,3.17,5.36
Interest,2,2,1,1,1,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,16,5,5,15,18,21,23,24,22,22,20,25,25
Tax %,27%,25%,22%,28%,25%,25%,26%,26%,26%,25%,26%,25%,26%
Net Profit,12,4,4,11,14,16,17,18,16,16,15,18,19
  └─ Minority share,-0.44,-0.06,-0.26,-0.42,-0.51,-0.71,-0.64,-0.84,-0.56,-0.59,-0.64,-0.86,-0.69
  └─ Exceptional items AT,0.00,0.00,-1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,11.75,3.86,5.33,10.64,13.60,15.91,17.15,17.81,15.91,16.36,15.03,18.36,18.90
  └─ Profit for PE,11.31,3.80,4.98,10.22,13.09,15.20,16.51,16.97,15.35,15.77,14.39,17.50,18.21
  └─ Profit for EPS,11.31,3.80,3.75,10.22,13.09,15.20,16.51,16.97,15.35,15.77,14.39,17.50,18.21
  └─ YOY Profit Growth %,,,,,15.74%,300.00%,231.23%,66.05%,17.27%,3.75%,-12.84%,3.12%,18.63%
EPS in Rs,3.57,1.20,1.18,3.22,3.34,3.88,4.21,4.33,3.92,4.02,3.67,4.47,4.65
Raw PDF,,,,,,,,,,,,,
