Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,492,530,506,588,597,443,794,505,1694
  └─ YOY Sales Growth %,,,,,21%,-16%,57%,-14%,184%
Expenses,484,527,471,550,617,471,788,580,1478
  └─ Employee Cost %,6.88%,5.64%,7.74%,4.92%,6.57%,9.54%,8.33%,13.51%,2.94%
Operating Profit,8,3,35,38,-20,-28,6,-75,216
OPM %,2%,1%,7%,6%,-3%,-6%,1%,-15%,13%
Other Income,43,14,28,32,70,14,22,23,35
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.70,0.00
  └─ Other income normal,43.25,14.19,28.36,32.20,70.32,13.58,21.89,30.66,34.96
Interest,10,5,6,66,11,32,12,15,11
Depreciation,10,9,9,9,11,10,11,12,14
Profit before tax,31,4,48,-4,29,-56,5,-79,226
Tax %,42%,112%,42%,448%,29%,-8%,-4%,-15%,14%
Net Profit,18,-0,28,-23,20,-52,5,-67,194
  └─ Minority share,7,-0,2,1,-6,2,0,4,7
  └─ Exceptional items AT,0,0,0,0,0,0,0,-7,0
  └─ Profit excl Excep,18,-0,28,-23,20,-52,5,-60,194
  └─ Profit for PE,24,-1,30,-22,14,-49,5,-57,200
  └─ Profit for EPS,24,-1,30,-22,14,-49,5,-63,200
  └─ YOY Profit Growth %,,,,,-42%,-7062%,-82%,-159%,1327%
EPS in Rs,1.74,-0.05,2.16,-1.57,0.84,-2.40,0.26,-3.05,9.74
Raw PDF,,,,,,,,,
