Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,349,380,397,454,447,474,621,466,548,495,570,459,597
  └─ YOY Sales Growth %,7.88%,2.66%,0.59%,39.85%,27.96%,24.96%,56.27%,2.81%,22.70%,4.32%,-8.20%,-1.64%,8.90%
Expenses,296,316,332,379,368,356,484,385,443,385,450,388,461
  └─ Material Cost %,49.02%,47.29%,47.32%,49.85%,46.36%,39.43%,49.54%,46.45%,47.93%,41.67%,47.42%,46.20%,44.89%
  └─ Employee Cost %,8.27%,9.30%,8.30%,8.20%,8.33%,8.56%,6.95%,9.67%,8.99%,9.79%,8.23%,10.64%,8.43%
Operating Profit,53,64,65,75,78,119,137,81,104,110,119,70,135
OPM %,15%,17%,16%,17%,18%,25%,22%,17%,19%,22%,21%,15%,23%
Other Income,17,9,9,9,12,11,14,12,17,13,14,16,21
  └─ Other income normal,17.13,8.90,9.16,9.49,11.51,11.33,13.65,12.50,16.92,13.38,13.86,16.47,21.13
Interest,5,4,4,2,2,2,2,2,2,2,2,2,2
Depreciation,10,10,10,10,10,10,10,10,10,11,11,12,12
Profit before tax,56,59,61,73,78,118,138,81,109,110,120,73,142
Tax %,23%,25%,24%,23%,26%,25%,25%,25%,29%,25%,24%,24%,24%
Net Profit,43,44,46,56,58,88,104,61,78,83,91,56,108
  └─ Profit excl Excep,43,44,46,56,58,88,104,61,78,83,91,56,108
  └─ Profit for PE,43,44,46,56,58,88,104,61,78,83,91,56,108
  └─ Profit for EPS,43,44,46,56,58,88,104,61,78,83,91,56,108
  └─ YOY Profit Growth %,-5%,-2%,-5%,84%,34%,102%,127%,9%,35%,-6%,-12%,-8%,39%
EPS in Rs,18.54,18.81,19.76,24.05,24.88,38.03,44.88,26.17,33.49,35.73,39.27,24.01,46.58
Raw PDF,,,,,,,,,,,,,
