Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,142,39,61,94,73,108,177,206,284,281
  └─ YOY Sales Growth %,,,,,-49%,176%,188%,118%,291%,159%
Expenses,131,26,38,86,55,92,146,170,205,251
  └─ Material Cost %,71%,44%,48%,71%,51%,66%,62%,64%,58%,59%
  └─ Employee Cost %,5%,21%,10%,8%,10%,10%,13%,12%,8%,9%
Operating Profit,11,14,24,8,17,16,31,36,79,30
OPM %,8%,34%,38%,9%,24%,15%,18%,18%,28%,11%
Other Income,6,9,18,8,6,21,17,13,0,29
  └─ Exceptional items,-2.53,2.84,0.21,-0.45,-1.02,-0.37,0.00,0.00,0.00,0.00
  └─ Other income normal,8.61,6.46,18.23,8.74,7.15,21.57,17.36,13.12,0.30,28.97
Interest,1,0,1,1,1,0,1,2,1,2
Depreciation,1,1,1,1,1,2,3,3,3,4
Profit before tax,15,22,41,14,22,36,44,44,74,53
Tax %,7%,19%,18%,5%,10%,14%,16%,21%,15%,13%
Net Profit,14,18,33,13,20,30,37,35,63,51
  └─ Profit from Associates,0,0,0,0,0,0,0,-0,-0,4
  └─ Minority share,-2,-2,-2,-2,-6,-11,-13,-11,-24,-17
  └─ Exceptional items AT,-2,2,0,-0,-1,-0,0,0,0,0
  └─ Profit excl Excep,15,15,33,14,20,31,37,35,63,51
  └─ Profit for PE,13,13,31,12,14,20,24,24,39,34
  └─ Profit for EPS,11,15,31,12,14,19,24,24,39,34
  └─ YOY Profit Growth %,,,,,14%,48%,-22%,104%,169%,73%
EPS in Rs,74933.33,2.11,4.34,1.62,1.92,2.51,3.12,3.14,5.03,4.38
Raw PDF,,,,,,,,,,
