Metric,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011
Sales,8.28,13.89,14.88,15.33,44.55,44.55,50.68,15.28,17.40,18.28
  └─ YOY Sales Growth %,,,,,438%,221%,241%,-0%,-61%,-59%
Expenses,8.70,13.71,13.91,14.34,41.67,41.67,48.62,13.51,17.61,17.33
  └─ Material Cost %,94%,92%,88%,87%,91%,91%,94%,81%,95%,88%
  └─ Employee Cost %,3%,2%,1%,1%,0%,0%,0%,1%,1%,2%
Operating Profit,-0.42,0.18,0.97,0.99,2.88,2.88,2.06,1.77,-0.21,0.95
OPM %,-5.07%,1.30%,6.52%,6.46%,6.46%,6.46%,4.06%,11.58%,-1.21%,5.20%
Other Income,0.83,0.49,0.43,0.40,0.39,0.39,0.02,0.04,0.07,0.06
  └─ Other income normal,0.83,0.49,0.43,0.40,0.39,0.39,0.02,0.04,0.07,0.06
Interest,0.58,0.65,0.60,0.62,0.58,0.58,0.57,0.51,0.63,0.61
Depreciation,0.74,0.74,0.75,0.76,0.76,0.76,0.75,0.76,0.74,0.72
Profit before tax,-0.91,-0.72,0.05,0.01,1.93,1.93,0.76,0.54,-1.51,-0.32
Tax %,0.00%,-19.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-196.88%
Net Profit,-0.91,-0.58,0.05,0.01,1.93,1.93,0.76,0.54,-1.51,0.31
  └─ Profit excl Excep,-1,-1,0,0,2,2,1,1,-2,0
  └─ Profit for PE,-1,-1,0,0,2,2,1,1,-2,0
  └─ Profit for EPS,-1,-1,0,0,2,2,1,1,-2,0
  └─ YOY Profit Growth %,,,,,312%,433%,1420%,5300%,-178%,-84%
EPS in Rs,-0.22,-0.14,0.01,0.00,0.47,0.47,0.19,0.13,-0.37,0.08
Raw PDF,,,,,,,,,,
