Metric,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,172.27,187.82,172.92,200.05,229.04,212.93,224.31,255.23
  └─ YOY Sales Growth %,,,,16.13%,21.95%,,29.72%,27.58%
Expenses,159.47,169.24,161.86,193.96,217.67,201.69,212.81,245.91
  └─ Material Cost %,83%,83%,86%,89%,90%,88%,89%,89%
  └─ Employee Cost %,5%,2%,3%,4%,2%,2%,2%,3%
Operating Profit,12.80,18.58,11.06,6.09,11.37,11.24,11.50,9.32
OPM %,7.43%,9.89%,6.40%,3.04%,4.96%,5.28%,5.13%,3.65%
Other Income,1.17,1.66,2.49,1.93,2.05,2.42,1.91,1.60
  └─ Other income normal,1.17,1.66,2.49,1.93,2.05,2.42,1.91,1.60
Interest,0.46,0.13,0.15,0.18,0.12,0.12,0.12,0.19
Depreciation,1.26,1.33,1.38,1.40,1.44,1.43,1.44,1.45
Profit before tax,12.25,18.78,12.02,6.44,11.86,12.11,11.85,9.28
Tax %,28.57%,24.01%,31.36%,23.14%,22.43%,23.78%,22.28%,33.30%
Net Profit,8.75,14.27,8.25,4.92,9.49,8.90,9.16,6.36
  └─ Profit from Associates,0.00,0.00,0.00,-0.03,0.28,-0.33,-0.06,0.17
  └─ Profit excl Excep,8.75,14.27,8.25,4.92,9.49,8.90,9.16,6.36
  └─ Profit for PE,8.75,14.27,8.25,4.92,9.49,8.90,9.16,6.36
  └─ Profit for EPS,8.75,14.27,8.25,4.92,9.49,8.90,9.16,6.36
  └─ YOY Profit Growth %,,,,-43.77%,-33.50%,,11.03%,29.27%
EPS in Rs,1.75,2.85,1.65,0.98,1.89,1.78,1.83,1.27
Raw PDF,,,,,,,,
