Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4.21,3.55,5.22,3.88,3.43,3.79,4.78,3.98,3.33,4.05,5.22,3.82,4.37
  └─ YOY Sales Growth %,-49.22%,2.90%,7.41%,-3.00%,-18.53%,6.76%,-8.43%,2.58%,-2.92%,6.86%,9.21%,-4.02%,31.23%
Expenses,5.24,4.09,5.28,4.10,4.82,4.22,7.50,3.93,7.35,4.50,5.49,5.77,6.20
  └─ Material Cost %,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%
  └─ Employee Cost %,68%,75%,57%,70%,89%,74%,67%,71%,88%,68%,56%,78%,76%
Operating Profit,-1.03,-0.54,-0.06,-0.22,-1.39,-0.43,-2.72,0.05,-4.02,-0.45,-0.27,-1.95,-1.83
OPM %,-24.47%,-15.21%,-1.15%,-5.67%,-40.52%,-11.35%,-56.90%,1.26%,-120.72%,-11.11%,-5.17%,-51.05%,-41.88%
Other Income,2.10,1.80,3.76,2.26,1.97,1.73,7.04,2.41,6.88,6.08,9.53,4.70,4.26
  └─ Other income normal,2.10,1.80,3.76,2.26,1.97,1.73,7.04,2.41,6.88,6.08,9.53,4.70,4.26
Interest,0.55,0.57,0.60,0.60,0.66,0.66,0.69,0.61,0.60,0.59,0.59,0.62,0.56
Depreciation,0.62,0.63,0.64,0.63,0.63,0.61,0.61,0.60,0.61,0.62,0.49,0.63,0.90
Profit before tax,-0.10,0.06,2.46,0.81,-0.71,0.03,3.02,1.25,1.65,4.42,8.18,1.50,0.97
Tax %,-210.00%,-466.67%,16.26%,41.98%,-250.70%,-466.67%,18.21%,1004.80%,17.58%,30.77%,26.53%,29.33%,29.90%
Net Profit,0.10,0.34,2.07,0.48,2.51,0.36,2.64,-11.31,1.36,3.40,6.01,1.07,0.69
  └─ Profit from Associates,0.00,0.00,0.00,0.00,1.44,0.19,0.17,0.00,0.00,0.34,0.00,0.00,0.00
  └─ Minority share,0.02,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.02,-0.23,-0.03,-0.06,-0.06,-0.08
  └─ Profit excl Excep,0.10,0.34,2.07,0.48,2.51,0.36,2.64,-11.31,1.36,3.40,6.01,1.07,0.69
  └─ Profit for PE,0.12,0.33,2.06,0.47,2.50,0.36,2.63,-11.33,1.13,3.37,5.95,1.01,0.61
  └─ Profit for EPS,0.12,0.33,2.06,0.47,2.50,0.36,2.63,-11.33,1.13,3.37,5.95,1.01,0.61
  └─ YOY Profit Growth %,180.00%,-8.33%,-18.25%,370.00%,1983.33%,9.09%,27.67%,-2510.64%,-54.80%,836.11%,126.24%,108.91%,-46.02%
EPS in Rs,0.01,0.03,0.16,0.04,0.20,0.03,0.21,-0.89,0.09,0.26,0.47,0.08,0.05
Raw PDF,,,,,,,,,,,,,
