Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0,0,0,121,127,156,210,251,186,123,179,188
  └─ YOY Sales Growth %,,,,,,,,108.03%,46.60%,-20.89%,-14.86%,-25.14%
Expenses,0,0,0,84,47,37,62,78,37,42,63,59
  └─ Employee Cost %,,,,0.04%,0.07%,0.06%,0.07%,0.05%,0.06%,0.12%,0.07%,0.07%
Operating Profit,-0,-0,-0,37,80,119,149,173,149,81,117,129
OPM %,,,,31%,63%,77%,71%,69%,80%,66%,65%,69%
Other Income,0,0,0,8,64,15,14,18,18,16,24,20
  └─ Other income normal,0.00,0.00,0.00,7.93,64.29,15.25,14.10,17.52,18.08,16.24,24.02,20.18
Interest,0,0,0,25,28,28,37,36,42,38,41,46
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-0,-0,-0,20,116,106,126,155,125,59,99,103
Tax %,0%,0%,0%,24%,4%,2%,6%,5%,4%,-0%,3%,-3%
Net Profit,-0,-0,-0,15,111,104,119,147,121,59,96,106
  └─ Profit excl Excep,-0,-0,-0,15,111,104,119,147,121,59,96,106
  └─ Profit for PE,-0,-0,-0,15,111,104,119,147,121,59,96,106
  └─ Profit for EPS,-0,-0,-0,15,111,104,119,147,121,59,96,106
  └─ YOY Profit Growth %,,,,,65441%,55005%,42543%,854%,9%,-43%,-19%,-28%
EPS in Rs,,,,0.35,2.51,2.36,2.68,3.33,2.72,1.34,2.18,2.40
Raw PDF,,,,,,,,,,,,
