Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1556,1663,1668,1771,1815,2002,1963,2116,2101,2270,2363,2470
  └─ YOY Sales Growth %,,,,,16.64%,20.38%,17.69%,19.47%,15.72%,13.38%,20.42%,16.70%
Expenses,1261,1334,1374,1460,1479,1621,1608,1714,1684,1794,1871,1990
  └─ Material Cost %,36.40%,37.06%,37.28%,37.88%,37.63%,39.39%,39.88%,42.16%,38.18%,39.19%,40.72%,42.35%
  └─ Employee Cost %,19.89%,18.76%,19.91%,19.11%,19.30%,17.76%,18.70%,17.64%,18.73%,16.94%,16.39%,15.66%
Operating Profit,296,329,294,311,336,381,355,402,417,475,493,480
OPM %,19%,20%,18%,18%,19%,19%,18%,19%,20%,21%,21%,19%
Other Income,15,-2,22,12,23,36,4,-6,0,3,-36,14
  └─ Exceptional items,0.00,-3.13,-6.66,-0.14,0.00,0.00,0.00,-10.38,-3.50,0.00,-38.15,10.30
  └─ Other income normal,14.98,1.33,28.94,11.74,23.44,35.65,3.90,4.45,3.70,3.12,1.85,3.99
Interest,52,59,61,65,59,46,32,39,27,33,38,46
Depreciation,67,70,84,91,94,97,97,97,99,105,105,106
Profit before tax,191,198,171,167,207,273,230,261,291,341,314,341
Tax %,26%,26%,30%,27%,26%,26%,32%,24%,26%,26%,26%,29%
Net Profit,141,146,120,121,153,202,156,197,215,251,231,244
  └─ Minority share,-11,-7,-6,-6,-9,-7,-2,-8,-8,-8,-1,-0
  └─ Exceptional items AT,0,-2,-4,-0,0,0,0,-7,-2,0,-26,7
  └─ Profit excl Excep,141,148,123,121,153,202,156,204,217,251,257,237
  └─ Profit for PE,130,141,117,115,144,195,154,195,209,243,256,236
  └─ Profit for EPS,130,139,113,115,144,195,154,189,207,243,231,243
  └─ YOY Profit Growth %,,,,,10%,38%,31%,70%,45%,25%,67%,21%
EPS in Rs,7.21,7.69,6.27,6.36,7.95,10.29,8.11,9.97,10.92,12.84,12.16,12.84
Raw PDF,,,,,,,,,,,,
