Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,21.72,15.90,18.93,14.30,21.66,24.48,19.68,22.66,25.17,23.45,22.28,23.27,32.70
  └─ YOY Sales Growth %,13.66%,-25.39%,-10.07%,-35.56%,-0.28%,53.96%,3.96%,58.46%,16.20%,-4.21%,13.21%,2.69%,29.92%
Expenses,25.28,18.02,18.52,14.36,20.82,22.51,20.52,22.41,30.55,21.79,21.37,21.60,34.34
  └─ Material Cost %,71%,70%,57%,54%,68%,59%,67%,62%,77%,59%,59%,58%,76%
  └─ Employee Cost %,9%,15%,10%,17%,11%,10%,13%,12%,9%,11%,12%,12%,10%
Operating Profit,-3.56,-2.12,0.41,-0.06,0.84,1.97,-0.84,0.25,-5.38,1.66,0.91,1.67,-1.64
OPM %,-16.39%,-13.33%,2.17%,-0.42%,3.88%,8.05%,-4.27%,1.10%,-21.37%,7.08%,4.08%,7.18%,-5.02%
Other Income,-11.54,0.41,0.20,2.34,1.37,0.32,0.86,0.27,-1.44,1.00,1.14,0.59,0.73
  └─ Exceptional items,-18.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.86,0.00,0.00,0.00,0.00
  └─ Other income normal,7.09,0.41,0.20,2.34,1.37,0.32,0.86,0.27,1.42,1.00,1.14,0.59,0.73
Interest,0.11,0.13,0.10,0.11,0.13,0.12,0.11,0.13,0.21,0.16,0.20,0.28,0.22
Depreciation,1.61,1.32,1.50,1.63,1.90,1.97,1.98,1.97,2.02,1.88,1.86,1.90,1.86
Profit before tax,-16.82,-3.16,-0.99,0.54,0.18,0.20,-2.07,-1.58,-9.05,0.62,-0.01,0.08,-2.99
Tax %,-36.39%,-18.35%,-26.26%,100.00%,516.67%,415.00%,398.07%,15.82%,-23.09%,-69.35%,1800.00%,-887.50%,19.73%
Net Profit,-10.71,-2.59,-0.73,0.01,-0.75,-0.63,-10.32,-1.84,-6.96,1.06,-0.20,0.79,-3.57
  └─ Exceptional items AT,-18.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.86,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,7.92,-2.59,-0.73,0.01,-0.75,-0.63,-10.32,-1.84,-4.10,1.06,-0.20,0.79,-3.57
  └─ Profit for PE,7.92,-2.59,-0.73,0.01,-0.75,-0.63,-10.32,-1.84,-4.10,1.06,-0.20,0.79,-3.57
  └─ Profit for EPS,-10.71,-2.59,-0.73,0.01,-0.75,-0.63,-10.32,-1.84,-6.96,1.06,-0.20,0.79,-3.57
  └─ YOY Profit Growth %,281.65%,32.73%,20.65%,100.36%,-109.47%,75.68%,-1313.70%,-18500.00%,-446.67%,268.25%,98.06%,142.93%,12.93%
EPS in Rs,-1.65,-0.40,-0.09,0.00,-0.10,-0.08,-1.21,-0.21,-0.81,0.12,-0.02,0.09,-0.41
Raw PDF,,,,,,,,,,,,,
