Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,62.65,62.88,62.71,62.83,62.26,62.63,63.21,63.18,76.80,110.46,100.67,103.70,155.10
  └─ YOY Sales Growth %,,,,70%,-1%,-0%,1%,1%,23%,76%,59%,64%,102%
Expenses,9.59,7.62,6.83,6.42,8.44,7.82,7.21,7.14,11.94,11.67,20.64,14.17,38.05
  └─ Employee Cost %,0.73%,0.70%,0.75%,0.76%,0.88%,0.69%,0.73%,0.78%,0.65%,0.32%,0.37%,0.34%,0.36%
Operating Profit,53.06,55.26,55.88,56.41,53.82,54.81,56.00,56.04,64.86,98.79,80.03,89.53,117.05
OPM %,84.69%,87.88%,89.11%,89.78%,86.44%,87.51%,88.59%,88.70%,84.45%,89.44%,79.50%,86.34%,75.47%
Other Income,0.18,0.43,0.83,0.14,0.05,1.80,0.03,0.06,0.00,0.22,2.47,0.09,4.97
  └─ Other income normal,0.18,0.43,0.83,0.14,0.05,1.80,0.03,0.06,0.00,0.22,2.47,0.09,4.97
Interest,15.61,15.83,16.06,16.03,15.87,15.89,16.07,16.10,27.06,39.84,40.12,42.53,63.50
Depreciation,49.16,46.54,47.06,47.07,46.58,42.49,42.97,42.97,45.60,52.00,54.03,52.73,57.18
Profit before tax,-11.53,-6.68,-6.41,-6.55,-8.58,-1.77,-3.01,-2.97,-7.80,7.17,-11.65,-5.64,1.34
Tax %,-22.72%,6.29%,7.80%,4.27%,3.61%,18.64%,11.96%,7.41%,-2.69%,-33.19%,-30.90%,-29.96%,-168.66%
Net Profit,-8.92,-7.10,-6.92,-6.82,-8.89,-2.10,-3.36,-3.19,-7.59,9.55,-8.05,-3.96,3.60
  └─ Profit excl Excep,-9,-7,-7,-7,-9,-2,-3,-3,-8,10,-8,-4,4
  └─ Profit for PE,-9,-7,-7,-7,-9,-2,-3,-3,-8,10,-8,-4,4
  └─ Profit for EPS,-9,-7,-7,-7,-9,-2,-3,-3,-8,10,-8,-4,4
  └─ YOY Profit Growth %,,,,70%,0%,70%,51%,53%,15%,555%,-140%,-24%,147%
EPS in Rs,-0.56,-0.45,-0.44,-0.43,-0.56,-0.13,-0.21,-0.20,-0.39,0.49,-0.41,-0.20,0.14
Raw PDF,,,,,,,,,,,,,
