Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,18.33,20.12,22.69,24.63,26.69,34.05,38.38,39.10
  └─ YOY Sales Growth %,,,,,46%,69%,69%,59%
Expenses,15.57,16.32,19.35,20.54,20.89,28.20,30.17,33.00
  └─ Employee Cost %,68%,66%,60%,57%,59%,63%,58%,60%
Operating Profit,2.76,3.80,3.34,4.09,5.80,5.85,8.21,6.10
OPM %,15.06%,18.89%,14.72%,16.61%,21.73%,17.18%,21.39%,15.60%
Other Income,1.05,1.05,0.57,0.88,0.51,1.64,-1.32,2.99
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,-1.68,0.00
  └─ Other income normal,1.05,1.05,0.57,0.88,0.51,1.64,0.36,2.99
Interest,0.35,0.55,0.44,0.51,1.02,1.09,1.22,1.02
Depreciation,0.55,0.82,0.78,0.80,1.52,1.48,1.50,1.62
Profit before tax,2.91,3.48,2.69,3.66,3.77,4.92,4.17,6.45
Tax %,21.31%,21.55%,-17.47%,-0.82%,5.84%,5.49%,9.11%,5.27%
Net Profit,2.29,2.74,3.17,3.69,3.56,4.65,3.79,6.11
  └─ Exceptional items AT,0,0,0,0,0,0,-1,0
  └─ Profit excl Excep,2,3,3,4,4,5,5,6
  └─ Profit for PE,2,3,3,4,4,5,5,6
  └─ Profit for EPS,2,3,3,4,4,5,4,6
  └─ YOY Profit Growth %,,,,,55%,70%,62%,66%
EPS in Rs,3.01,2.63,3.05,3.55,3.42,4.39,3.58,5.77
Raw PDF,,,,,,,,
