Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,154,118,131,135,141,85,146,144,200,88,118,185,142
  └─ YOY Sales Growth %,71.46%,22.75%,41.24%,14.31%,-8.26%,-28.15%,11.14%,6.37%,41.75%,3.34%,-18.64%,28.74%,-28.97%
Expenses,134,96,107,112,116,77,126,118,168,79,99,152,112
  └─ Material Cost %,28.97%,31.63%,32.53%,29.96%,28.85%,20.01%,38.12%,30.44%,43.05%,21.72%,29.77%,44.20%,32.16%
  └─ Employee Cost %,21.04%,18.77%,19.29%,20.74%,19.44%,25.76%,17.26%,18.24%,13.00%,24.64%,21.15%,13.92%,15.53%
Operating Profit,20,22,24,23,25,8,20,25,32,9,19,33,30
OPM %,13%,19%,18%,17%,17%,9%,14%,18%,16%,10%,16%,18%,21%
Other Income,2,4,3,5,6,4,6,7,4,6,6,8,10
  └─ Exceptional items,-0.03,-0.04,-0.14,-0.04,-0.74,-0.06,-0.19,-0.11,-0.16,-0.11,-0.15,-0.15,-0.02
  └─ Other income normal,2.18,4.49,3.06,4.66,6.43,3.56,6.08,6.77,4.56,5.65,6.61,7.82,9.84
Interest,0,0,0,0,3,0,0,0,0,0,0,0,1
Depreciation,1,2,2,2,1,2,2,2,2,2,2,2,2
Profit before tax,21,25,25,25,26,10,24,30,35,12,23,38,38
Tax %,54%,31%,24%,29%,62%,-22%,2%,31%,28%,21%,30%,27%,25%
Net Profit,10,17,19,18,10,12,24,21,25,10,16,28,28
  └─ Profit from Associates,0.28,0.19,0.21,0.13,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Minority share,0.00,0.00,0.00,0.00,0.04,0.00,0.16,0.13,0.29,0.14,0.12,0.05,0.02
  └─ Exceptional items AT,-0.03,-0.04,-0.14,-0.04,-0.69,-0.06,-0.19,-0.11,-0.16,-0.11,-0.15,-0.15,-0.02
  └─ Profit excl Excep,10.03,17.45,19.32,18.07,10.63,11.88,23.84,20.75,24.98,9.85,16.50,28.16,28.29
  └─ Profit for PE,10.03,17.45,19.32,18.07,10.67,11.88,24.00,20.88,25.27,9.99,16.62,28.21,28.31
  └─ Profit for EPS,10.00,17.41,19.18,18.03,9.98,11.82,23.81,20.77,25.11,9.88,16.47,28.06,28.29
  └─ YOY Profit Growth %,479.77%,69.58%,60.33%,-20.26%,6.38%,-31.92%,24.22%,15.55%,136.83%,-15.91%,-30.75%,35.11%,12.03%
EPS in Rs,1.17,2.03,2.24,2.10,1.16,1.38,2.78,2.42,2.93,1.15,1.92,3.27,3.30
Raw PDF,,,,,,,,,,,,,
