Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1135,1151,1263,1431,1598,1580,1638,2013,2541,2687,2812,3073
  └─ Sales Growth %,17.59%,1.34%,9.80%,13.27%,11.68%,-1.16%,3.69%,22.89%,26.26%,5.72%,4.65%,9.30%
Expenses,954,966,1070,1183,1326,1315,1314,1612,2040,2167,2297,2500
  └─ Material Cost %,42.43%,42.96%,43.88%,43.57%,44.40%,45.14%,44.01%,44.21%,45.71%,44.91%,45.38%,46.36%
    └─ Raw material cost,492,507,552,617,738,715,687,961,1191,1217,1252,1402
    └─ Change in inventory,-10,-13,3,7,-29,-2,34,-71,-29,-10,24,23
  └─ Manufacturing Cost %,12.51%,11.36%,10.06%,9.95%,10.49%,10.40%,8.38%,8.31%,8.62%,8.87%,9.11%,0.00%
  └─ Employee Cost %,11.70%,12.89%,13.47%,12.35%,12.05%,12.97%,12.68%,12.46%,11.70%,12.13%,11.99%,11.39%
  └─ Other Cost %,17.42%,16.76%,17.29%,16.79%,16.03%,14.74%,15.13%,15.13%,14.24%,14.73%,15.21%,23.58%
Operating Profit,181,184,193,248,272,265,324,400,501,520,515,574
OPM %,16%,16%,15%,17%,17%,17%,20%,20%,20%,19%,18%,19%
Other Income,17,22,31,26,35,40,51,53,53,67,79,95
  └─ Exceptional items,3,6,8,10,17,16,23,19,16,22,31,0
  └─ Other income normal,14,16,23,16,18,24,28,34,37,45,48,95
Interest,3,2,2,2,2,4,3,4,8,8,9,8
Depreciation,42,43,42,45,45,58,54,53,60,71,93,105
Profit before tax,154,161,180,227,260,243,317,396,486,508,492,555
Tax %,32%,34%,33%,34%,35%,24%,25%,25%,26%,24%,25%,25%
Net Profit,104,106,121,151,169,184,238,295,362,384,371,417
  └─ Minority share,-1,-1,-1,-1,-1,-1,1,1,0,-0,-3,-1
  └─ Exceptional items AT,2,4,5,7,11,11,17,14,12,17,23,0
  └─ Profit excl Excep,102,103,116,144,158,172,221,281,350,367,348,417
  └─ Profit for PE,101,102,114,143,156,171,222,282,350,367,346,416
  └─ Profit for EPS,103,105,119,150,167,183,239,296,362,384,369,416
  └─ Profit Growth %,21%,1%,12%,25%,9%,9%,30%,27%,24%,5%,-6%,20%
EPS in Rs,9.32,9.51,10.78,13.53,15.10,16.48,21.60,26.70,32.69,34.65,33.30,37.54
Dividend Payout %,35%,34%,37%,37%,40%,46%,44%,45%,44%,49%,51%,51%
