Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,10505,9771,10101,8573,10818,14071,18516,25045,35743
  └─ Sales Growth %,,-6.99%,3.38%,-15.12%,26.18%,30.08%,31.58%,35.27%,42.71%
Expenses,9732,9151,9302,7949,9965,12906,17180,23461,33252
  └─ Material Cost %,84%,84%,83%,83%,84%,84%,86%,87%,87%
    └─ Raw material cost,9545,7518,8469,7482,9709,13104,17070,22512,35615
    └─ Change in inventory,-743,680,-78,-368,-583,-1232,-1236,-751,-4576
  └─ Manufacturing Cost %,1%,1%,1%,1%,1%,1%,1%,1%,0%
  └─ Employee Cost %,4%,4%,4%,4%,3%,3%,3%,3%,3%
  └─ Other Cost %,5%,5%,5%,5%,4%,3%,3%,3%,4%
Operating Profit,774,620,799,624,853,1165,1335,1585,2491
OPM %,7%,6%,8%,7%,8%,8%,7%,6%,7%
Other Income,32,42,80,45,38,5,106,140,167
  └─ Exceptional items,25,-1,2,0,0,-33,1,-4,-42
  └─ Other income normal,7,43,79,45,38,37,105,144,208
Interest,390,418,419,405,360,353,379,422,433
Depreciation,202,224,239,225,232,245,274,343,423
Profit before tax,214,21,221,39,299,572,789,960,1802
Tax %,34%,123%,36%,115%,25%,24%,24%,26%,25%
Net Profit,141,-5,142,-6,224,432,596,714,1350
  └─ Minority share,1,1,1,-0,0,1,1,1,0
  └─ Exceptional items AT,16,0,1,-0,0,-24,1,-2,-28
  └─ Profit excl Excep,125,-5,141,-6,224,456,595,717,1378
  └─ Profit for PE,126,-4,142,-6,224,457,596,717,1378
  └─ Profit for EPS,142,-4,143,-6,224,433,597,715,1350
  └─ Profit Growth %,,-103%,3849%,-104%,3707%,104%,30%,20%,92%
EPS in Rs,1.70,-0.04,1.70,-0.06,2.18,4.20,5.80,6.93,13.08
Dividend Payout %,0%,0%,0%,0%,0%,12%,21%,22%,19%
