Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,22.76,25.94,31.12,35.53,35.66,40.14,41.38,62.11,51.54,55.37
  └─ Sales Growth %,,13.97%,19.97%,14.17%,0.37%,12.56%,3.09%,50.10%,-17.02%,7.43%
Expenses,21.79,25.08,29.66,33.97,33.82,38.02,39.18,59.21,47.40,50.83
  └─ Material Cost %,70%,71%,71%,68%,63%,63%,62%,70%,59%,63%
    └─ Raw material cost,11.57,20.33,21.99,24.65,27.35,24.72,25.23,40.40,30.79,33.15
    └─ Change in inventory,4.33,-2.02,-0.03,-0.51,-4.82,0.51,0.48,2.95,-0.24,1.82
  └─ Manufacturing Cost %,13%,14%,11%,11%,16%,3%,9%,8%,9%,0%
  └─ Employee Cost %,7%,10%,8%,9%,11%,10%,13%,7%,11%,12%
  └─ Other Cost %,6%,3%,6%,7%,5%,19%,11%,10%,12%,17%
Operating Profit,0.97,0.86,1.46,1.56,1.84,2.12,2.20,2.90,4.14,4.54
OPM %,4.26%,3.32%,4.69%,4.39%,5.16%,5.28%,5.32%,4.67%,8.03%,8.20%
Other Income,0.36,0.74,0.44,0.56,0.23,0.28,0.47,1.01,0.43,0.55
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00
  └─ Other income normal,0.36,0.74,0.44,0.56,0.22,0.28,0.47,1.01,0.41,0.55
Interest,0.65,0.73,0.88,1.02,0.99,1.22,1.16,1.45,1.71,1.55
Depreciation,0.05,0.14,0.22,0.23,0.24,0.29,0.31,0.31,0.34,0.31
Profit before tax,0.63,0.73,0.80,0.87,0.84,0.89,1.20,2.15,2.52,3.23
Tax %,20.63%,24.66%,21.25%,18.39%,14.29%,16.85%,53.33%,30.23%,22.62%,25.39%
Net Profit,0.50,0.56,0.63,0.71,0.72,0.73,0.56,1.50,1.95,2.41
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00
  └─ Profit excl Excep,0.50,0.56,0.63,0.71,0.71,0.73,0.56,1.50,1.94,2.41
  └─ Profit for PE,0.50,0.56,0.63,0.71,0.71,0.73,0.56,1.50,1.94,2.41
  └─ Profit for EPS,0.50,0.56,0.63,0.71,0.72,0.73,0.56,1.50,1.95,2.41
  └─ Profit Growth %,,12.00%,12.50%,12.70%,0.00%,2.82%,-23.29%,167.86%,29.33%,24.23%
EPS in Rs,0.83,0.93,1.05,1.18,1.20,1.22,0.93,2.50,2.97,3.67
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
