Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales,14.70,22.49,38.94,39.56,33.52,27.25,16.65,28.02,35.29,40.56
  └─ Sales Growth %,,52.99%,73.14%,1.59%,-15.27%,-18.71%,-38.90%,68.29%,25.95%,14.93%
Expenses,19.32,26.19,45.29,50.14,43.08,26.17,16.34,15.47,33.91,41.44
  └─ Material Cost %,18%,18%,22%,19%,17%,16%,0%,0%,64%,64%
    └─ Raw material cost,2.65,4.12,8.65,7.52,5.72,4.46,0.00,0.00,22.55,25.80
  └─ Manufacturing Cost %,19%,19%,17%,16%,14%,10%,29%,18%,7%,8%
  └─ Employee Cost %,23%,24%,22%,24%,22%,18%,20%,10%,8%,9%
  └─ Other Cost %,71%,55%,56%,67%,75%,51%,49%,27%,17%,22%
Operating Profit,-4.62,-3.70,-6.35,-10.58,-9.56,1.08,0.31,12.55,1.38,-0.88
OPM %,-31.43%,-16.45%,-16.31%,-26.74%,-28.52%,3.96%,1.86%,44.79%,3.91%,-2.17%
Other Income,9.81,6.88,6.24,-0.27,0.81,0.83,0.83,0.11,4.44,4.93
  └─ Exceptional items,3.40,1.83,2.14,-1.18,-0.28,0.00,0.00,0.00,0.00,0.09
  └─ Other income normal,6.41,5.05,4.10,0.91,1.09,0.83,0.83,0.11,4.44,4.84
Interest,0.01,0.25,0.64,1.58,3.09,3.32,3.77,3.13,0.80,1.27
Depreciation,1.26,3.29,4.74,6.25,8.15,5.84,5.43,4.94,4.73,2.65
Profit before tax,3.92,-0.36,-5.49,-18.68,-19.99,-7.25,-8.06,4.59,0.29,0.13
Tax %,-3.32%,13.89%,1.46%,0.64%,0.00%,2.62%,0.00%,0.00%,0.00%,0.00%
Net Profit,4.05,-0.41,-5.57,-18.80,-19.99,-7.44,-8.06,4.59,0.29,0.14
  └─ Minority share,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,3,2,2,-1,-0,0,0,0,0,0
  └─ Profit excl Excep,1,-2,-8,-18,-20,-7,-8,5,0,0
  └─ Profit for PE,1,-0,-7,-17,-20,-7,-8,5,0,0
  └─ Profit for EPS,4,-0,-5,-19,-20,-7,-8,5,0,0
  └─ Profit Growth %,,-125%,-4207%,-146%,-14%,62%,-8%,157%,-94%,-83%
EPS in Rs,3.19,-0.02,-3.26,-11.83,-12.77,-4.75,-5.15,2.93,0.19,0.09
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
