Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Sales,123,215,343,459,502,642
  └─ Sales Growth %,,74.87%,59.46%,,9.30%,27.94%
Expenses,98,171,276,277,311,420
  └─ Material Cost %,36.71%,37.62%,37.26%,35.17%,30.29%,35.39%
    └─ Raw material cost,46,84,138,150,196,270
    └─ Change in inventory,-1,-3,-10,12,-44,-42
  └─ Manufacturing Cost %,12.90%,10.54%,14.98%,6.87%,8.21%,0.00%
  └─ Employee Cost %,19.74%,25.36%,21.26%,6.40%,7.68%,8.08%
  └─ Other Cost %,10.01%,5.98%,6.83%,11.83%,15.76%,21.98%
Operating Profit,25,44,67,182,191,222
OPM %,21%,20%,20%,40%,38%,35%
Other Income,3,3,7,6,9,29
  └─ Exceptional items,0.00,0.09,0.13,0.09,-0.04,0.00
  └─ Other income normal,3.22,3.34,7.26,6.01,9.33,28.59
Interest,1,1,2,5,7,8
Depreciation,3,4,5,9,11,15
Profit before tax,25,43,69,175,183,228
Tax %,27%,22%,27%,24%,24%,24%
Net Profit,18,33,50,133,139,174
  └─ Minority share,0,0,0,0,0,-1
  └─ Exceptional items AT,0,0,0,0,-0,0
  └─ Profit excl Excep,18,33,50,133,139,174
  └─ Profit for PE,18,33,50,133,139,173
  └─ Profit for EPS,18,33,50,133,139,173
  └─ Profit Growth %,,84%,50%,,4%,25%
EPS in Rs,128.02,236.60,356.04,945.36,14.27,15.31
Dividend Payout %,0%,0%,0%,0%,0%,10%
