Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1102,1324,1135,1858,1832,1689,1814,2243,3503,5107,4377
  └─ Sales Growth %,,20.06%,-14.23%,63.69%,-1.42%,-7.80%,7.44%,23.64%,56.15%,45.78%,-14.28%
Expenses,1052,1249,1071,1688,1672,1570,1674,2098,3239,4639,3987
  └─ Material Cost %,73%,72%,67%,70%,67%,70%,60%,72%,76%,77%,81%
    └─ Raw material cost,839,873,811,1362,1305,1013,1117,1739,2680,3857,3568
    └─ Change in inventory,-37,77,-54,-64,-85,168,-23,-123,-15,82,-13
  └─ Manufacturing Cost %,11%,11%,13%,11%,14%,12%,11%,12%,9%,7%,2%
  └─ Employee Cost %,7%,7%,9%,6%,7%,7%,7%,6%,4%,3%,4%
  └─ Other Cost %,4%,4%,6%,4%,4%,4%,14%,4%,4%,3%,3%
Operating Profit,50,74,64,170,160,119,140,145,264,467,390
OPM %,5%,6%,6%,9%,9%,7%,8%,6%,8%,9%,9%
Other Income,44,46,48,15,-129,25,22,26,70,58,57
  └─ Exceptional items,18,18,2,3,-149,-0,0,0,2,9,-3
  └─ Other income normal,26,28,46,12,20,25,22,26,68,49,60
Interest,50,58,61,70,97,103,100,116,133,137,123
Depreciation,17,22,25,29,36,37,36,35,38,43,47
Profit before tax,27,39,26,86,-102,3,26,20,162,345,277
Tax %,28%,31%,48%,15%,-32%,-8%,54%,44%,41%,35%,30%
Net Profit,20,29,13,75,-65,12,21,26,113,249,194
  └─ Profit from Associates,0,2,-1,3,4,8,8,14,17,23,0
  └─ Minority share,-1,-3,0,0,0,2,-0,0,0,0,2
  └─ Exceptional items AT,12,10,1,2,-142,-0,0,0,1,7,-2
  └─ Profit excl Excep,7,19,12,73,77,12,20,26,112,242,196
  └─ Profit for PE,7,17,12,73,77,14,20,26,112,242,197
  └─ Profit for EPS,19,26,13,75,-65,14,20,26,113,249,195
  └─ Profit Growth %,,142%,-30%,510%,4%,-81%,43%,27%,333%,116%,-19%
EPS in Rs,0.59,0.78,0.38,2.24,-1.88,0.44,0.64,0.81,2.83,6.24,4.80
Dividend Payout %,28%,21%,44%,10%,-3%,18%,16%,19%,18%,12%,16%
