Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,22629,29440,34098,28932,34083,40844
  └─ Sales Growth %,,30.10%,15.82%,-15.15%,17.80%,19.84%
Expenses,10957,13215,16583,15256,16652,18764
  └─ Material Cost %,1.06%,-0.94%,-0.42%,-0.54%,-0.19%,-0.48%
    └─ Change in inventory,239,-278,-143,-157,-64,-195
  └─ Manufacturing Cost %,40.91%,40.46%,42.84%,45.62%,41.64%,39.47%
  └─ Employee Cost %,3.36%,2.44%,2.48%,2.87%,2.61%,1.89%
  └─ Other Cost %,3.09%,2.93%,3.73%,4.78%,4.80%,5.06%
Operating Profit,11672,16225,17515,13676,17431,22080
OPM %,52%,55%,51%,47%,51%,54%
Other Income,1819,1082,1370,1054,857,1099
  └─ Exceptional items,346,82,23,17,-63,42
  └─ Other income normal,1473,1000,1347,1037,920,1057
Interest,386,290,333,955,1095,881
Depreciation,2531,2917,3264,3468,3640,3790
Profit before tax,10574,14100,15288,10307,13553,18508
Tax %,25%,32%,31%,25%,24%,25%
Net Profit,7980,9629,10511,7759,10353,13832
  └─ Exceptional items AT,261,56,16,13,-48,53
  └─ Profit excl Excep,7719,9573,10495,7746,10401,13779
  └─ Profit for PE,7719,9573,10495,7746,10401,13779
  └─ Profit for EPS,7980,9629,10511,7759,10353,13832
  └─ Profit Growth %,,24%,10%,-26%,34%,32%
EPS in Rs,18.89,22.79,24.88,18.36,24.50,32.74
Dividend Payout %,113%,79%,303%,71%,118%,0%
