Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,4642,4552,4589,5837,5896,5162,5129,8642,10227,7930,7892,7773
  └─ Sales Growth %,,-1.93%,0.81%,27.21%,1.01%,-12.44%,-0.65%,68.51%,18.34%,-22.46%,-0.47%,-1.51%
Expenses,4662,3989,4228,4445,5022,4621,4125,6259,8348,7428,7277,6894
  └─ Material Cost %,60%,52%,48%,43%,49%,53%,45%,46%,49%,57%,57%,52%
    └─ Raw material cost,2685,2400,2189,2530,2910,2777,2260,3964,5074,4524,4518,3964
    └─ Change in inventory,99,-15,3,3,-49,-39,69,19,-85,-20,12,97
  └─ Manufacturing Cost %,20%,23%,24%,21%,22%,22%,22%,18%,24%,25%,24%,19%
  └─ Employee Cost %,8%,8%,8%,7%,9%,10%,9%,5%,6%,8%,7%,7%
  └─ Other Cost %,12%,5%,12%,5%,6%,4%,5%,3%,3%,4%,4%,10%
Operating Profit,-21,563,361,1392,874,542,1003,2384,1879,502,615,879
OPM %,-0%,12%,8%,24%,15%,10%,20%,28%,18%,6%,8%,11%
Other Income,52,252,809,140,215,153,237,209,361,469,501,499
  └─ Exceptional items,-0,0,311,9,3,-0,0,0,1,0,0,0
  └─ Other income normal,52,252,498,131,212,153,237,209,360,469,501,499
Interest,274,297,203,100,6,5,20,3,5,13,23,6
Depreciation,209,251,251,270,263,264,272,292,303,308,303,307
Profit before tax,-452,268,715,1162,819,425,948,2298,1932,651,790,1065
Tax %,0%,35%,27%,32%,10%,-17%,27%,26%,24%,26%,26%,25%
Net Profit,-443,180,529,795,750,508,697,1710,1472,497,598,808
  └─ Profit from Associates,9,7,7,5,9,9,8,7,8,12,12,11
  └─ Exceptional items AT,-0,0,227,6,2,-0,0,0,0,0,0,0
  └─ Profit excl Excep,-443,180,302,789,748,508,697,1710,1471,497,598,808
  └─ Profit for PE,-443,180,302,789,748,508,697,1710,1471,497,598,808
  └─ Profit for EPS,-443,180,529,795,750,508,697,1710,1472,497,598,808
  └─ Profit Growth %,,141%,68%,161%,-5%,-32%,37%,145%,-14%,-66%,20%,35%
EPS in Rs,-28.50,11.57,34.02,51.15,48.24,32.69,44.84,110.05,94.68,33.83,40.68,54.99
Dividend Payout %,0%,17%,15%,15%,15%,15%,18%,9%,32%,49%,44%,38%
