Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,4707,5202,5500,6770,7986,8830,8792,12204,14108,18039,22408,28884
  └─ Sales Growth %,18.10%,10.51%,5.72%,23.09%,17.95%,10.57%,-0.43%,38.80%,15.60%,27.87%,24.22%,28.90%
Expenses,4266,4710,5020,6041,7035,7701,7681,10940,12265,15548,19445,24878
  └─ Material Cost %,74%,73%,75%,5%,72%,69%,73%,77%,74%,71%,70%,71%
    └─ Raw material cost,3589,3866,4352,247,5819,6288,6341,9847,10341,13227,16025,21347
    └─ Change in inventory,-119,-59,-220,66,-108,-237,68,-493,35,-422,-452,-760
  └─ Manufacturing Cost %,8%,7%,6%,75%,7%,8%,5%,5%,5%,7%,9%,0%
  └─ Employee Cost %,3%,4%,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%
  └─ Other Cost %,5%,6%,6%,6%,6%,7%,5%,5%,6%,5%,5%,12%
Operating Profit,442,492,480,729,950,1129,1111,1264,1843,2492,2964,4006
OPM %,9%,9%,9%,11%,12%,13%,13%,10%,13%,14%,13%,14%
Other Income,5,32,75,65,64,91,164,161,133,221,204,236
  └─ Exceptional items,0,-2,-0,5,2,17,61,94,75,88,119,0
  └─ Other income normal,5,33,76,60,62,75,103,67,58,133,85,236
Interest,108,147,66,94,117,50,43,35,60,108,169,243
Depreciation,98,111,128,133,141,161,176,202,209,245,298,386
Profit before tax,241,265,361,567,756,1010,1056,1188,1707,2359,2701,3613
Tax %,32%,30%,36%,37%,34%,24%,16%,23%,25%,24%,24%,25%
Net Profit,164,185,233,359,500,766,886,917,1283,1803,2046,2708
  └─ Minority share,0,0,-0,-1,-1,-7,-4,-9,-12,-19,-26,-36
  └─ Exceptional items AT,0,-1,-0,3,1,13,13,16,56,67,90,0
  └─ Profit excl Excep,164,186,233,356,499,753,873,901,1227,1736,1955,2708
  └─ Profit for PE,164,186,233,355,498,747,870,892,1215,1717,1931,2672
  └─ Profit for EPS,164,185,233,358,500,759,882,909,1271,1784,2020,2672
  └─ Profit Growth %,84%,13%,25%,53%,40%,50%,16%,3%,36%,41%,12%,38%
EPS in Rs,11.64,13.09,16.48,25.35,35.39,50.97,59.15,60.80,84.85,118.75,134.28,177.48
Dividend Payout %,9%,13%,6%,0%,8%,14%,17%,23%,24%,25%,26%,26%
