Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,904,1192,1642,2070,2292,2452,2904,3606,4062,4429,4753,2698
  └─ Sales Growth %,1.05%,31.76%,37.80%,26.03%,10.72%,6.99%,18.43%,24.18%,12.66%,9.04%,7.31%,-43.24%
Expenses,778,1019,1378,1620,1754,1829,2205,2804,3145,3380,3144,1987
  └─ Material Cost %,37.21%,26.14%,22.18%,24.78%,28.04%,30.73%,31.91%,32.74%,36.79%,37.48%,30.85%,28.55%
    └─ Raw material cost,338,318,362,507,644,753,926,1181,1495,1660,1466,770
    └─ Change in inventory,-2,-6,2,6,-1,0,0,0,0,0,0,0
  └─ Manufacturing Cost %,39.92%,53.29%,54.02%,47.30%,42.55%,36.38%,36.95%,35.42%,34.04%,32.52%,29.17%,0.00%
  └─ Employee Cost %,4.24%,3.90%,3.58%,3.59%,4.15%,5.19%,4.60%,4.06%,4.30%,3.94%,3.74%,5.64%
  └─ Other Cost %,4.60%,2.21%,4.11%,2.62%,1.80%,2.29%,2.47%,5.54%,2.28%,2.37%,2.38%,39.45%
Operating Profit,127,172,264,449,538,623,699,802,918,1049,1610,711
OPM %,14%,14%,16%,22%,23%,25%,24%,22%,23%,24%,34%,26%
Other Income,14,46,30,55,75,66,144,78,98,162,172,65
  └─ Exceptional items,3,-1,-6,6,10,-7,86,24,65,4,-126,0
  └─ Other income normal,11,46,36,49,65,73,58,53,33,158,298,65
Interest,14,57,73,82,90,111,133,151,153,106,208,212
Depreciation,55,71,116,194,230,254,190,165,181,157,314,59
Profit before tax,71,90,106,228,292,324,520,563,681,948,1260,505
Tax %,-0%,-24%,7%,-0%,9%,21%,26%,35%,36%,21%,20%,17%
Net Profit,70,112,99,229,265,256,383,366,439,752,1002,437
  └─ Profit from Associates,-2,0,0,0,0,0,0,0,0,0,0,17
  └─ Minority share,0,0,16,15,6,10,25,15,19,25,0,0
  └─ Exceptional items AT,2,-0,-5,5,8,-5,63,16,45,3,-101,0
  └─ Profit excl Excep,68,113,104,224,257,261,320,350,395,749,1103,437
  └─ Profit for PE,68,113,120,239,263,270,345,365,413,774,1103,437
  └─ Profit for EPS,70,112,115,243,271,266,407,382,458,777,1002,437
  └─ Profit Growth %,15%,66%,7%,98%,10%,3%,27%,6%,13%,87%,42%,-60%
EPS in Rs,2.48,3.99,4.09,8.66,9.62,9.44,14.49,13.58,16.29,27.64,35.62,15.54
Dividend Payout %,4%,5%,6%,2%,2%,3%,2%,2%,2%,1%,1%,2%
