Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,20,161,204,174,212,253,427,561,600,698
  └─ Sales Growth %,,719.17%,26.42%,-14.35%,21.48%,19.22%,69.17%,31.27%,6.92%,16.32%
Expenses,18,154,193,164,210,245,319,377,394,482
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,5.61%,-0.37%,4.34%,1.48%,0.48%,4.99%
    └─ Raw material cost,0.00,0.00,0.00,0.00,12.17,0.00,20.66,8.28,2.90,34.81
    └─ Change in inventory,0.00,0.00,0.00,0.00,-0.27,-0.94,-2.12,0.00,0.00,0.00
  └─ Manufacturing Cost %,0.51%,0.49%,0.27%,0.54%,0.28%,25.86%,7.31%,15.58%,16.00%,0.00%
  └─ Employee Cost %,82.66%,84.16%,86.27%,79.43%,69.27%,62.39%,42.08%,36.44%,38.91%,42.12%
  └─ Other Cost %,9.15%,10.71%,8.37%,13.89%,24.10%,9.28%,20.90%,13.75%,10.35%,21.97%
Operating Profit,2,7,10,11,2,7,108,184,206,216
OPM %,8%,5%,5%,6%,1%,3%,25%,33%,34%,31%
Other Income,0,-0,0,1,2,30,19,17,4,7
  └─ Exceptional items,0.00,-0.02,0.00,0.07,-0.02,0.00,0.00,0.13,0.01,-1.64
  └─ Other income normal,0.00,0.00,0.02,0.54,2.14,30.10,19.10,17.30,4.18,8.44
Interest,0,0,1,1,1,2,12,21,25,26
Depreciation,0,0,0,1,1,3,21,40,42,51
Profit before tax,1,7,9,9,1,33,94,140,143,146
Tax %,39%,36%,17%,24%,-48%,10%,21%,27%,28%,22%
Net Profit,1,4,8,7,2,29,74,103,103,114
  └─ Minority share,0,0,0,-1,0,0,-0,-0,-0,-0
  └─ Exceptional items AT,0,-0,0,0,-0,0,0,0,0,-1
  └─ Profit excl Excep,1,4,8,6,2,29,74,103,103,116
  └─ Profit for PE,1,4,8,6,2,29,74,103,103,116
  └─ Profit for EPS,1,4,8,6,2,29,74,103,103,114
  └─ Profit Growth %,,409%,77%,-25%,-70%,1546%,151%,39%,0%,12%
EPS in Rs,0.02,0.09,0.16,0.12,0.04,0.59,1.26,1.76,1.76,1.94
Dividend Payout %,29%,0%,0%,21%,71%,4%,2%,2%,2%,0%
