Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,7,20,61,108,195,298,338,395,360,320
  └─ Sales Growth %,,163.05%,209.36%,78.09%,79.71%,53.14%,13.53%,16.69%,-8.83%,-11.19%
Expenses,22,51,78,99,150,251,252,284,232,219
  └─ Manufacturing Cost %,8.30%,7.02%,2.71%,1.42%,0.54%,0.42%,0.45%,0.46%,0.50%,0.00%
  └─ Employee Cost %,110.31%,98.68%,44.38%,27.01%,18.63%,14.21%,17.51%,22.78%,20.74%,27.73%
  └─ Other Cost %,180.05%,155.52%,80.69%,62.79%,57.69%,69.65%,56.45%,48.76%,43.36%,40.76%
Operating Profit,-15,-32,-17,10,45,47,87,111,127,101
OPM %,-199%,-161%,-28%,9%,23%,16%,26%,28%,35%,32%
Other Income,0,0,0,0,0,0,1,0,0,0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.01,-0.02,0.00,0.03,0.01,0.00
  └─ Other income normal,0.00,0.00,0.01,0.01,0.02,0.04,1.12,0.00,0.00,0.34
Interest,1,1,7,15,21,23,21,29,24,33
Depreciation,0,1,1,4,5,5,9,10,12,9
Profit before tax,-16,-33,-25,-10,20,18,58,72,91,59
Tax %,-29%,-24%,-25%,-18%,26%,26%,25%,25%,25%,25%
Net Profit,-12,-25,-19,-8,15,14,44,54,68,44
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.02,0.01,0.00
  └─ Profit excl Excep,-11.69,-25.30,-18.95,-7.90,14.68,13.75,43.57,54.42,68.22,44.19
  └─ Profit for PE,-11.69,-25.30,-18.95,-7.90,14.68,13.75,43.57,54.42,68.22,44.19
  └─ Profit for EPS,-11.69,-25.30,-18.95,-7.90,14.69,13.74,43.57,54.44,68.23,44.19
  └─ Profit Growth %,,-116.42%,25.10%,58.31%,285.82%,-6.34%,216.87%,24.90%,25.36%,-35.22%
EPS in Rs,-2.20,-6.62,-4.96,-2.07,3.84,3.12,9.47,11.63,14.55,9.43
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
