Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1758,2220,2657,2637,2801,3415,4195,4438,5092,5619
  └─ Sales Growth %,,26.27%,19.66%,-0.76%,6.21%,21.94%,22.83%,5.79%,14.73%,10.37%
Expenses,1657,2060,2529,2514,2588,3367,4031,4242,4805,5303
  └─ Material Cost %,58%,56%,59%,57%,56%,60%,61%,59%,61%,61%
    └─ Raw material cost,1035,1313,1614,1428,1588,2130,2593,2612,3175,3418
    └─ Change in inventory,-16,-60,-48,65,-23,-67,-35,23,-72,15
  └─ Manufacturing Cost %,11%,11%,11%,12%,7%,8%,7%,7%,7%,0%
  └─ Employee Cost %,9%,10%,10%,11%,11%,11%,10%,10%,9%,8%
  └─ Other Cost %,16%,15%,15%,16%,18%,19%,18%,19%,18%,26%
Operating Profit,102,160,128,123,213,49,164,196,287,317
OPM %,6%,7%,5%,5%,8%,1%,4%,4%,6%,6%
Other Income,13,16,32,14,22,28,23,32,35,19
  └─ Exceptional items,2.02,10.31,23.00,1.73,0.14,0.07,9.41,11.11,18.16,-13.96
  └─ Other income normal,11.40,5.36,9.01,12.25,22.22,27.82,13.34,21.26,17.02,33.11
Interest,6,7,8,18,34,35,33,31,27,21
Depreciation,44,54,58,92,102,115,122,124,132,122
Profit before tax,65,115,94,27,99,-74,32,73,163,192
Tax %,20%,31%,24%,4%,35%,-35%,54%,31%,27%,25%
Net Profit,52,79,71,26,64,-48,15,50,119,144
  └─ Minority share,2,2,2,2,0,0,0,0,0,0
  └─ Exceptional items AT,1,7,16,1,0,0,5,8,12,-10
  └─ Profit excl Excep,50,72,55,24,64,-48,10,43,107,154
  └─ Profit for PE,52,74,56,26,64,-48,10,43,107,154
  └─ Profit for EPS,53,81,73,27,64,-48,15,50,119,144
  └─ Profit Growth %,,43%,-24%,-54%,145%,-175%,120%,336%,150%,45%
EPS in Rs,13.15,19.98,18.00,6.76,15.82,-11.89,3.69,12.43,29.35,35.43
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
